"",BBK01.OEXB10M,BBK01.OEXB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:48,
2002-01,5.060,
2002-04,4.911,
2002-07,4.456,
2002-10,4.416,
2003-01,4.419,
2003-04,4.551,
2003-07,4.226,
2003-10,4.032,
2004-01,4.171,
2004-04,4.367,
2004-07,4.153,
2004-10,4.034,
2005-01,4.208,
2005-04,4.058,
2005-07,3.904,
2005-10,3.959,
2006-01,4.237,
2006-04,4.016,
2006-07,3.938,
2006-10,3.907,
2007-01,3.904,
2007-04,4.358,
2007-07,4.119,
2007-10,4.500,
2008-01,4.979,
2008-04,4.890,
2008-07,4.709,
2008-10,6.068,
2009-01,6.266,
2009-04,6.067,
2009-07,4.424,
2009-10,4.620,
2010-01,4.389,
2010-04,3.774,
2010-07,3.804,
2010-10,4.174,
2011-01,4.043,
2011-04,4.164,
2011-07,4.006,
2011-10,3.946,
2012-01,3.943,
2012-04,3.933,
2012-07,3.961,
2012-10,3.569,
2013-01,3.646,
2013-04,3.818,
2013-07,3.774,
2013-10,3.229,
2014-01,3.226,
2014-04,3.280,
2014-07,4.153,
