"",BBK01.OEAF34K,BBK01.OEAF34K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:09,
2002-01,28.017,
2002-04,27.947,
2002-07,28.591,
2002-10,31.899,
2003-01,31.762,
2003-04,27.422,
2003-07,27.518,
2003-10,27.487,
2004-01,28.299,
2004-04,29.357,
2004-07,29.430,
2004-10,29.896,
2005-01,30.059,
2005-04,30.092,
2005-07,30.128,
2005-10,30.099,
2006-01,29.813,
2006-04,29.594,
2006-07,29.170,
2006-10,28.966,
2007-01,27.954,
2007-04,27.588,
2007-07,26.646,
2007-10,26.167,
2008-01,25.617,
2008-04,25.266,
2008-07,24.895,
2008-10,24.120,
2009-01,23.571,
2009-04,24.410,
2009-07,24.150,
2009-10,23.328,
2010-01,23.005,
2010-04,22.648,
2010-07,22.473,
2010-10,22.354,
2011-01,21.710,
2011-04,21.431,
2011-07,21.185,
2011-10,20.865,
2012-01,20.579,
2012-04,20.327,
2012-07,20.085,
2012-10,19.774,
2013-01,19.467,
2013-04,19.248,
2013-07,18.640,
2013-10,18.236,
2014-01,18.011,
2014-04,17.700,
2014-07,17.481,
