"",BBSF2.M.1.S.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Mixed securities funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:01,
2009-09,829,
2009-10,867,
2009-11,790,
2009-12,709,
2010-01,902,
2010-02,700,
2010-03,497,
2010-04,443,
2010-05,368,
2010-06,429,
2010-07,360,
2010-08,352,
2010-09,369,
2010-10,363,
2010-11,536,
2010-12,607,
2011-01,584,
2011-02,495,
2011-03,462,
2011-04,442,
2011-05,507,
2011-06,514,
2011-07,486,
2011-08,706,
2011-09,711,
2011-10,652,
2011-11,504,
2011-12,401,
2012-01,473,
2012-02,434,
2012-03,450,
2012-04,539,
2012-05,412,
2012-06,377,
2012-07,486,
2012-08,722,
2012-09,665,
2012-10,678,
2012-11,689,
2012-12,601,
2013-01,496,
2013-02,447,
2013-03,455,
2013-04,478,
2013-05,455,
2013-06,633,
2013-07,557,
2013-08,668,
2013-09,490,
2013-10,481,
2013-11,415,
2013-12,415,
2014-01,388,
2014-02,785,
2014-03,762,
2014-04,768,
2014-05,791,
2014-06,830,
2014-07,916,
2014-08,517,
2014-09,435,
2014-10,670,
2014-11,809,
