"",BBK01.PC3428,BBK01.PC3428_FLAGS
"",Housing loans to domestic employees and other individuals / Short-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:10,
1999-01,1.740,
1999-04,1.700,
1999-07,1.633,
1999-10,1.660,
2000-01,1.484,
2000-04,1.537,
2000-07,1.545,
2000-10,1.252,
2001-01,1.239,
2001-04,1.316,
2001-07,1.339,
2001-10,1.333,
2002-01,1.237,
2002-04,1.265,
2002-07,1.301,
2002-10,1.276,
2003-01,1.157,
2003-04,1.156,
2003-07,1.281,
2003-10,1.163,
2004-01,1.144,
2004-04,1.155,
2004-07,1.142,
2004-10,1.113,
2005-01,1.014,
2005-04,1.063,
2005-07,1.079,
2005-10,1.055,
2006-01,1.005,
2006-04,1.032,
2006-07,1.068,
2006-10,1.116,
2007-01,1.130,
2007-04,1.229,
2007-07,1.348,
2007-10,1.322,
2008-01,1.290,
2008-04,1.174,
2008-07,1.243,
2008-10,1.250,
2009-01,1.128,
2009-04,1.215,
2009-07,1.272,
2009-10,1.264,
2010-01,1.209,
2010-04,1.395,
2010-07,1.442,
2010-10,1.400,
2011-01,1.317,
2011-04,1.334,
2011-07,1.376,
2011-10,1.361,
2012-01,1.277,
2012-04,1.282,
2012-07,1.295,
2012-10,1.303,
2013-01,1.282,
2013-04,1.301,
2013-07,1.307,
2013-10,1.297,
2014-01,1.270,
2014-04,1.305,
2014-07,1.307,
2014-10,0.784,
