"",BBEX3.M.JPY.USD.CA.AB.A01,BBEX3.M.JPY.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (selling),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:20,
1989-01,130.55,
1989-02,128.15,
1989-03,133.20,
1989-04,133.50,
1989-05,143.85,
1989-06,145.30,
1989-07,140.00,
1989-08,145.30,
1989-09,141.20,
1989-10,143.35,
1989-11,143.95,
1989-12,144.55,
1990-01,145.25,
1990-02,149.80,
1990-03,159.00,
1990-04,160.30,
1990-05,152.60,
1990-06,153.90,
1990-07,148.70,
1990-08,145.45,
1990-09,139.05,
1990-10,130.40,
1990-11,134.40,
1990-12,135.60,
1991-01,132.15,
1991-02,133.20,
1991-03,141.95,
1991-04,138.40,
1991-05,138.85,
1991-06,138.75,
1991-07,138.80,
1991-08,138.15,
1991-09,133.85,
1991-10,131.85,
1991-11,131.05,
1991-12,126.25,
1992-01,126.90,
1992-02,130.30,
1992-03,133.85,
1992-04,134.50,
1992-05,130.05,
1992-06,126.45,
1992-07,128.65,
1992-08,123.90,
1992-09,119.80,
1992-10,124.25,
1992-11,125.75,
1992-12,125.70,
1993-01,125.65,
1993-02,118.75,
1993-03,117.30,
1993-04,112.20,
1993-05,108.35,
1993-06,107.65,
1993-07,107.15,
1993-08,105.20,
1993-09,106.15,
1993-10,109.20,
1993-11,109.95,
1993-12,113.00,
1994-01,110.90,
1994-02,105.20,
1994-03,104.15,
1994-04,103.55,
1994-05,105.50,
1994-06,99.80,
1994-07,100.80,
1994-08,100.60,
1994-09,99.45,
1994-10,98.45,
1994-11,100.00,
1994-12,100.85,
1995-01,99.55,
1995-02,98.10,
1995-03,90.35,
1995-04,84.75,
1995-05,84.25,
1995-06,85.65,
1995-07,89.45,
1995-08,100.15,
1995-09,100.10,
1995-10,102.80,
1995-11,102.65,
1995-12,103.95,
1996-01,108.30,
1996-02,105.85,
1996-03,107.35,
1996-04,105.85,
1996-05,108.85,
1996-06,110.50,
1996-07,108.95,
1996-08,109.50,
1996-09,112.00,
1996-10,114.95,
1996-11,114.85,
1996-12,117.10,
1997-01,123.10,
1997-02,121.85,
1997-03,125.10,
1997-04,127.90,
1997-05,117.55,
1997-06,115.35,
1997-07,119.45,
1997-08,120.45,
1997-09,122.10,
1997-10,121.10,
1997-11,128.20,
1997-12,131.10,
1998-01,128.25,
1998-02,128.15,
1998-03,133.10,
1998-04,133.40,
1998-05,140.00,
1998-06,142.00,
1998-07,144.85,
1998-08,142.40,
1998-09,136.35,
1998-10,117.50,
1998-11,124.45,
1998-12,116.70,
1999-01,117.35,
1999-02,120.55,
1999-03,121.55,
1999-04,120.35,
1999-05,122.45,
1999-06,122.10,
1999-07,116.85,
1999-08,111.85,
1999-09,107.95,
1999-10,106.00,
1999-11,103.45,
1999-12,103.40,
2000-01,108.00,
2000-02,110.90,
2000-03,107.15,
2000-04,107.70,
2000-05,107.40,
2000-06,106.50,
2000-07,110.65,
2000-08,107.65,
2000-09,109.00,
2000-10,110.05,
2000-11,112.25,
2000-12,115.75,
2001-01,117.05,
2001-02,117.40,
2001-03,124.90,
2001-04,124.55,
2001-05,121.25,
2001-06,125.60,
2001-07,126.10,
2001-08,120.25,
2001-09,120.40,
2001-10,123.10,
2001-11,125.00,
2001-12,132.95,
2002-01,133.90,
2002-02,135.35,
2002-03,134.25,
2002-04,129.35,
2002-05,124.45,
2002-06,120.50,
2002-07,121.10,
2002-08,118.95,
2002-09,123.60,
2002-10,124.20,
2002-11,123.40,
2002-12,120.90,
2003-01,120.05,
2003-02,118.75,
2003-03,121.20,
2003-04,120.65,
2003-05,119.30,
2003-06,120.80,
2003-07,121.20,
2003-08,118.15,
2003-09,112.25,
2003-10,109.80,
2003-11,110.45,
2003-12,108.13,
2004-01,107.08,
2004-02,110.62,
2004-03,106.69,
2004-04,111.35,
2004-05,111.82,
2004-06,109.43,
2004-07,113.12,
2004-08,110.88,
2004-09,112.05,
2004-10,107.18,
2004-11,104.18,
2004-12,105.21,
2005-01,104.61,
2005-02,105.74,
2005-03,108.39,
2005-04,107.35,
2005-05,109.11,
2005-06,111.62,
2005-07,113.47,
2005-08,112.40,
2005-09,114.19,
2005-10,116.75,
2005-11,120.68,
2005-12,119.07,
2006-01,118.75,
2006-02,117.27,
2006-03,118.47,
2006-04,115.40,
2006-05,113.26,
2006-06,116.24,
2006-07,115.85,
2006-08,118.31,
2006-09,118.90,
2006-10,118.70,
2006-11,117.48,
2006-12,120.11,
2007-01,122.73,
2007-02,119.44,
2007-03,119.05,
2007-04,120.80,
2007-05,122.69,
2007-06,124.26,
2007-07,119.94,
2007-08,117.07,
2007-09,116.43,
2007-10,115.78,
2007-11,111.15,
2007-12,115.15,
2008-01,107.40,
2008-02,105.78,
2008-03,101.19,
2008-04,105.14,
2008-05,106.75,
2008-06,107.42,
2008-07,109.12,
2008-08,110.36,
2008-09,104.57,
2008-10,99.40,
2008-11,96.54,
