"",BBK01.SUD118S,BBK01.SUD118S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Housing loans to households with an initial rate fixation of over 5 years and up to 10 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:59,
2000-01,7.0516,Estimated value
2000-02,7.1542,Estimated value
2000-03,7.0516,Estimated value
2000-04,7.0061,Estimated value
2000-05,7.3136,Estimated value
2000-06,7.3023,Estimated value
2000-07,7.3820,Estimated value
2000-08,7.4162,Estimated value
2000-09,7.4390,Estimated value
2000-10,7.3934,Estimated value
2000-11,7.3478,Estimated value
2000-12,7.0516,Estimated value
2001-01,6.7554,Estimated value
2001-02,6.7213,Estimated value
2001-03,6.6073,Estimated value
2001-04,6.5846,Estimated value
2001-05,6.6871,Estimated value
2001-06,6.6529,Estimated value
2001-07,6.6643,Estimated value
2001-08,6.4820,Estimated value
2001-09,6.3453,Estimated value
2001-10,6.1061,Estimated value
2001-11,5.9238,Estimated value
2001-12,6.1744,Estimated value
2002-01,6.2884,Estimated value
2002-02,6.4479,Estimated value
2002-03,6.7099,Estimated value
2002-04,6.7896,Estimated value
2002-05,6.7896,Estimated value
2002-06,6.6757,Estimated value
2002-07,6.5048,Estimated value
2002-08,6.1744,Estimated value
2002-09,5.9466,Estimated value
2002-10,5.8555,Estimated value
2002-11,5.7871,Estimated value
2002-12,5.6504,Estimated value
