"",BBK01.OEAC36O,BBK01.OEAC36O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:32,
2002-01,0.165,
2002-04,0.164,
2002-07,0.167,
2002-10,0.157,
2003-01,0.157,
2003-04,0.161,
2003-07,0.156,
2003-10,0.148,
2004-01,0.149,
2004-04,0.147,
2004-07,0.144,
2004-10,0.138,
2005-01,0.127,
2005-04,0.131,
2005-07,0.130,
2005-10,0.123,
2006-01,0.118,
2006-04,0.113,
2006-07,0.114,
2006-10,0.112,
2007-01,0.108,
2007-04,0.107,
2007-07,0.102,
2007-10,0.096,
2008-01,0.094,
2008-04,0.096,
2008-07,0.108,
2008-10,0.101,
2009-01,0.093,
2009-04,0.165,
2009-07,0.159,
2009-10,0.161,
2010-01,0.116,
2010-04,0.154,
2010-07,0.157,
2010-10,0.117,
2011-01,0.121,
2011-04,0.118,
2011-07,0.120,
2011-10,0.115,
2012-01,0.119,
2012-04,0.117,
2012-07,0.120,
2012-10,0.114,
2013-01,0.112,
2013-04,0.113,
2013-07,0.118,
2013-10,0.113,
2014-01,0.116,
2014-04,0.118,
2014-07,0.125,
