"",BBK01.OEXL06H,BBK01.OEXL06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:19,
2002-01,0.895,
2002-04,0.946,
2002-07,0.961,
2002-10,0.973,
2003-01,0.955,
2003-04,0.939,
2003-07,0.903,
2003-10,0.837,
2004-01,0.815,
2004-04,0.398,
2004-07,0.403,
2004-10,0.371,
2005-01,0.437,
2005-04,0.433,
2005-07,0.449,
2005-10,0.458,
2006-01,0.478,
2006-04,0.499,
2006-07,0.560,
2006-10,0.583,
2007-01,0.613,
2007-04,0.645,
2007-07,0.665,
2007-10,0.771,
2008-01,0.915,
2008-04,1.054,
2008-07,1.131,
2008-10,1.320,
2009-01,1.515,
2009-04,1.347,
2009-07,1.229,
2009-10,1.133,
2010-01,1.156,
2010-04,1.410,
2010-07,1.560,
2010-10,1.684,
2011-01,1.795,
2011-04,1.980,
2011-07,2.125,
2011-10,2.064,
2012-01,2.053,
2012-04,2.095,
2012-07,2.043,
2012-10,1.949,
2013-01,1.751,
2013-04,1.492,
2013-07,1.431,
2013-10,1.436,
2014-01,1.407,
2014-04,1.425,
2014-07,1.304,
