"",BBK01.OEHO02Q,BBK01.OEHO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:04,
2002-01,1.052,
2002-04,0.803,
2002-07,0.814,
2002-10,0.808,
2003-01,0.869,
2003-04,0.663,
2003-07,0.647,
2003-10,0.725,
2004-01,0.834,
2004-04,0.703,
2004-07,0.690,
2004-10,0.785,
2005-01,0.852,
2005-04,0.717,
2005-07,0.685,
2005-10,0.715,
2006-01,0.901,
2006-04,0.704,
2006-07,0.721,
2006-10,0.788,
2007-01,0.940,
2007-04,0.733,
2007-07,0.784,
2007-10,0.910,
2008-01,0.864,
2008-04,0.744,
2008-07,0.803,
2008-10,1.128,
2009-01,0.906,
2009-04,0.803,
2009-07,0.900,
2009-10,0.985,
2010-01,0.817,
2010-04,0.670,
2010-07,0.658,
2010-10,0.651,
2011-01,0.697,
2011-04,0.709,
2011-07,0.615,
2011-10,0.836,
2012-01,0.727,
2012-04,0.664,
2012-07,0.595,
2012-10,0.675,
2013-01,0.639,
2013-04,0.631,
2013-07,0.560,
2013-10,0.597,
2014-01,0.594,
2014-04,0.575,
2014-07,0.507,
