"",BBK01.OELB14K,BBK01.OELB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:51,
2002-01,0.124,
2002-04,0.124,
2002-07,0.119,
2002-10,0.135,
2003-01,0.115,
2003-04,0.108,
2003-07,0.099,
2003-10,0.103,
2004-01,0.097,
2004-04,0.104,
2004-07,0.105,
2004-10,0.095,
2005-01,0.094,
2005-04,0.092,
2005-07,0.093,
2005-10,0.099,
2006-01,0.102,
2006-04,0.102,
2006-07,0.101,
2006-10,0.111,
2007-01,0.102,
2007-04,0.098,
2007-07,0.096,
2007-10,0.110,
2008-01,0.099,
2008-04,0.093,
2008-07,0.096,
2008-10,0.100,
2009-01,0.102,
2009-04,0.093,
2009-07,0.093,
2009-10,0.102,
2010-01,0.095,
2010-04,0.095,
2010-07,0.101,
2010-10,0.104,
2011-01,0.097,
2011-04,0.097,
2011-07,0.097,
2011-10,0.112,
2012-01,0.112,
2012-04,0.117,
2012-07,0.113,
2012-10,0.131,
2013-01,0.118,
2013-04,0.120,
2013-07,0.110,
2013-10,0.114,
2014-01,0.117,
2014-04,0.111,
2014-07,0.103,
