"",BBK01.OEXB18T,BBK01.OEXB18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:16,
2002-01,0.062,
2002-04,0.061,
2002-07,0.065,
2002-10,0.067,
2003-01,0.069,
2003-04,0.073,
2003-07,0.075,
2003-10,0.072,
2004-01,0.065,
2004-04,0.069,
2004-07,0.070,
2004-10,0.064,
2005-01,0.060,
2005-04,0.060,
2005-07,0.058,
2005-10,0.065,
2006-01,0.055,
2006-04,0.053,
2006-07,0.058,
2006-10,0.057,
2007-01,0.065,
2007-04,0.053,
2007-07,0.055,
2007-10,0.054,
2008-01,0.053,
2008-04,0.047,
2008-07,0.049,
2008-10,0.056,
2009-01,0.054,
2009-04,0.051,
2009-07,0.049,
2009-10,0.048,
2010-01,0.045,
2010-04,0.043,
2010-07,0.047,
2010-10,0.045,
2011-01,0.045,
2011-04,0.039,
2011-07,0.041,
2011-10,0.037,
2012-01,0.035,
2012-04,0.036,
2012-07,0.033,
2012-10,0.036,
2013-01,0.035,
2013-04,0.035,
2013-07,0.035,
2013-10,0.033,
2014-01,0.033,
2014-04,0.041,
2014-07,0.040,
