"",BBK01.OEBI06G,BBK01.OEBI06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:45,
2002-01,1.156,
2002-04,1.113,
2002-07,0.956,
2002-10,0.552,
2003-01,0.442,
2003-04,0.405,
2003-07,0.364,
2003-10,0.335,
2004-01,0.316,
2004-04,0.308,
2004-07,0.292,
2004-10,0.284,
2005-01,0.325,
2005-04,0.322,
2005-07,0.339,
2005-10,0.352,
2006-01,0.355,
2006-04,0.375,
2006-07,0.426,
2006-10,0.364,
2007-01,0.372,
2007-04,0.396,
2007-07,0.396,
2007-10,0.464,
2008-01,0.556,
2008-04,0.698,
2008-07,0.755,
2008-10,0.857,
2009-01,0.986,
2009-04,0.828,
2009-07,0.731,
2009-10,0.646,
2010-01,0.661,
2010-04,0.837,
2010-07,0.947,
2010-10,1.027,
2011-01,1.114,
2011-04,1.292,
2011-07,1.369,
2011-10,1.375,
2012-01,1.334,
2012-04,1.359,
2012-07,1.319,
2012-10,1.181,
2013-01,1.018,
2013-04,0.817,
2013-07,0.768,
2013-10,0.741,
2014-01,0.710,
2014-04,0.622,
2014-07,0.531,
