"",BBK01.OEAD31L,BBK01.OEAD31L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:02,
2002-01,9.907,
2002-04,9.663,
2002-07,9.673,
2002-10,8.752,
2003-01,8.796,
2003-04,8.617,
2003-07,8.727,
2003-10,8.415,
2004-01,8.261,
2004-04,8.126,
2004-07,7.861,
2004-10,7.779,
2005-01,7.642,
2005-04,7.733,
2005-07,7.870,
2005-10,8.188,
2006-01,7.965,
2006-04,7.693,
2006-07,7.557,
2006-10,7.587,
2007-01,8.389,
2007-04,7.772,
2007-07,8.023,
2007-10,8.331,
2008-01,8.880,
2008-04,8.967,
2008-07,8.936,
2008-10,8.381,
2009-01,7.950,
2009-04,7.896,
2009-07,7.978,
2009-10,7.493,
2010-01,7.780,
2010-04,7.802,
2010-07,7.715,
2010-10,7.385,
2011-01,7.206,
2011-04,6.922,
2011-07,6.268,
2011-10,6.147,
2012-01,5.961,
2012-04,5.789,
2012-07,5.486,
2012-10,5.079,
2013-01,4.986,
2013-04,4.883,
2013-07,4.797,
2013-10,4.638,
2014-01,4.570,
2014-04,4.460,
2014-07,4.894,
