"",BBK01.OEAI10I,BBK01.OEAI10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:05,
2002-01,0.254,
2002-04,0.253,
2002-07,0.254,
2002-10,0.194,
2003-01,0.193,
2003-04,0.182,
2003-07,0.184,
2003-10,0.187,
2004-01,0.230,
2004-04,0.291,
2004-07,0.293,
2004-10,0.309,
2005-01,0.303,
2005-04,0.317,
2005-07,0.316,
2005-10,0.322,
2006-01,0.355,
2006-04,0.694,
2006-07,0.721,
2006-10,0.710,
2007-01,0.701,
2007-04,0.649,
2007-07,0.596,
2007-10,0.587,
2008-01,0.515,
2008-04,0.468,
2008-07,0.446,
2008-10,0.440,
2009-01,0.338,
2009-04,0.326,
2009-07,0.326,
2009-10,0.325,
2010-01,0.306,
2010-04,0.293,
2010-07,0.289,
2010-10,0.290,
2011-01,0.263,
2011-04,0.157,
2011-07,0.156,
2011-10,0.139,
2012-01,0.130,
2012-04,0.126,
2012-07,0.124,
2012-10,0.128,
2013-01,0.131,
2013-04,0.142,
2013-07,0.146,
2013-10,0.154,
2014-01,0.156,
2014-04,0.160,
2014-07,0.166,
