"",BBK01.OEBB18H,BBK01.OEBB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:47,
2002-01,3.145,
2002-04,3.218,
2002-07,2.901,
2002-10,2.762,
2003-01,2.712,
2003-04,2.693,
2003-07,2.769,
2003-10,2.609,
2004-01,2.552,
2004-04,2.458,
2004-07,2.447,
2004-10,2.395,
2005-01,2.401,
2005-04,2.422,
2005-07,2.417,
2005-10,2.318,
2006-01,2.299,
2006-04,2.310,
2006-07,2.312,
2006-10,2.263,
2007-01,2.213,
2007-04,2.174,
2007-07,2.252,
2007-10,2.300,
2008-01,2.314,
2008-04,2.309,
2008-07,2.349,
2008-10,2.444,
2009-01,2.315,
2009-04,2.373,
2009-07,2.496,
2009-10,2.389,
2010-01,2.320,
2010-04,2.361,
2010-07,2.484,
2010-10,2.586,
2011-01,2.553,
2011-04,2.592,
2011-07,2.660,
2011-10,2.727,
2012-01,2.726,
2012-04,2.741,
2012-07,2.822,
2012-10,2.729,
2013-01,1.732,
2013-04,1.833,
2013-07,1.926,
2013-10,1.930,
2014-01,1.885,
2014-04,1.905,
2014-07,1.956,
