"",BBK01.OEHB05U,BBK01.OEHB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:32,
2002-01,8.309,
2002-04,8.379,
2002-07,8.446,
2002-10,8.621,
2003-01,8.645,
2003-04,8.710,
2003-07,8.688,
2003-10,8.699,
2004-01,8.637,
2004-04,8.653,
2004-07,8.648,
2004-10,8.755,
2005-01,8.649,
2005-04,8.673,
2005-07,8.655,
2005-10,8.661,
2006-01,8.623,
2006-04,8.737,
2006-07,8.760,
2006-10,8.716,
2007-01,8.619,
2007-04,8.619,
2007-07,8.543,
2007-10,8.541,
2008-01,8.518,
2008-04,8.585,
2008-07,8.598,
2008-10,8.649,
2009-01,8.640,
2009-04,8.757,
2009-07,8.769,
2009-10,8.803,
2010-01,8.817,
2010-04,8.942,
2010-07,8.990,
2010-10,9.017,
2011-01,9.061,
2011-04,9.102,
2011-07,9.102,
2011-10,9.166,
2012-01,9.203,
2012-04,9.337,
2012-07,9.384,
2012-10,9.425,
2013-01,9.492,
2013-04,9.574,
2013-07,9.760,
2013-10,9.806,
2014-01,9.939,
2014-04,10.023,
2014-07,10.122,
