"",BBK01.OEAD29N,BBK01.OEAD29N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:34,
2002-01,0.181,
2002-04,0.179,
2002-07,0.176,
2002-10,0.166,
2003-01,0.148,
2003-04,0.154,
2003-07,0.160,
2003-10,0.147,
2004-01,0.137,
2004-04,0.132,
2004-07,0.133,
2004-10,0.126,
2005-01,0.117,
2005-04,0.118,
2005-07,0.121,
2005-10,0.114,
2006-01,0.126,
2006-04,0.116,
2006-07,0.130,
2006-10,0.112,
2007-01,0.110,
2007-04,0.115,
2007-07,0.105,
2007-10,0.101,
2008-01,0.094,
2008-04,0.100,
2008-07,0.098,
2008-10,0.094,
2009-01,0.085,
2009-04,0.088,
2009-07,0.099,
2009-10,0.115,
2010-01,0.108,
2010-04,0.104,
2010-07,0.120,
2010-10,0.121,
2011-01,0.127,
2011-04,0.120,
2011-07,0.122,
2011-10,0.112,
2012-01,0.116,
2012-04,0.114,
2012-07,0.101,
2012-10,0.095,
2013-01,0.202,
2013-04,0.204,
2013-07,0.195,
2013-10,0.200,
2014-01,0.197,
2014-04,0.183,
2014-07,0.173,
