"",BBDE1.M.DE.Y.AEP5.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEP5.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At current prices, flows / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:10,
2010-01,87.2,
2010-02,90.1,
2010-03,91.7,
2010-04,96.9,
2010-05,99.3,
2010-06,99.6,
2010-07,101.7,
2010-08,103.8,
2010-09,103.2,
2010-10,104.0,
2010-11,110.2,
2010-12,108.1,
2011-01,113.1,
2011-02,108.7,
2011-03,108.8,
2011-04,104.5,
2011-05,107.0,
2011-06,108.8,
2011-07,109.0,
2011-08,107.6,
2011-09,108.7,
2011-10,108.5,
2011-11,107.0,
2011-12,111.0,
2012-01,110.8,
2012-02,114.3,
2012-03,114.2,
2012-04,115.3,
2012-05,117.6,
2012-06,114.4,
2012-07,117.1,
2012-08,115.7,
2012-09,115.8,
2012-10,118.3,
2012-11,117.2,
2012-12,117.6,
2013-01,115.2,
2013-02,118.3,
2013-03,117.7,
2013-04,120.0,
2013-05,119.1,
2013-06,116.9,
2013-07,117.5,
2013-08,119.3,
2013-09,122.2,
2013-10,122.7,
2013-11,120.7,
2013-12,121.9,
2014-01,125.8,
2014-02,124.2,
2014-03,121.5,
2014-04,121.7,
2014-05,119.2,
2014-06,123.6,
2014-07,124.6,
2014-08,119.1,
2014-09,125.0,
2014-10,130.1,
2014-11,130.5,
2014-12,131.0,Provisional value
