"",BBK01.OEAL07P,BBK01.OEAL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:36,
2002-01,8.083,
2002-04,7.941,
2002-07,7.755,
2002-10,8.013,
2003-01,8.203,
2003-04,8.221,
2003-07,8.256,
2003-10,8.438,
2004-01,8.446,
2004-04,8.407,
2004-07,8.378,
2004-10,8.565,
2005-01,8.916,
2005-04,8.875,
2005-07,8.839,
2005-10,8.981,
2006-01,8.952,
2006-04,8.866,
2006-07,8.764,
2006-10,8.819,
2007-01,8.715,
2007-04,8.593,
2007-07,8.482,
2007-10,8.544,
2008-01,8.403,
2008-04,8.291,
2008-07,8.048,
2008-10,8.257,
2009-01,8.305,
2009-04,8.432,
2009-07,8.584,
2009-10,8.876,
2010-01,9.013,
2010-04,9.056,
2010-07,9.040,
2010-10,9.190,
2011-01,9.160,
2011-04,9.122,
2011-07,9.030,
2011-10,9.062,
2012-01,9.051,
2012-04,8.931,
2012-07,8.820,
2012-10,8.863,
2013-01,8.701,
2013-04,8.561,
2013-07,8.413,
2013-10,8.416,
2014-01,8.321,
2014-04,8.228,
2014-07,8.170,
