"",BBK01.CEBF0C,BBK01.CEBF0C_FLAGS
"",longer-term loans debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:46,
1991-01,36.7,
1991-04,38.9,
1991-07,40.9,
1991-10,42.4,
1992-01,44.8,
1992-04,47.1,
1992-07,48.8,
1992-10,51.1,
1993-01,52.8,
1993-04,54.3,
1993-07,56.8,
1993-10,58.5,
1994-01,61.5,
1994-04,64.0,
1994-07,65.6,
1994-10,67.6,
1995-01,82.1,
1995-04,85.2,
1995-07,86.4,
1995-10,84.9,
1996-01,87.7,
1996-04,91.2,
1996-07,92.6,
1996-10,88.2,
1997-01,91.2,
1997-04,94.1,
1997-07,94.2,
1997-10,89.6,
1998-01,92.6,
1998-04,95.5,
1998-07,96.4,
1998-10,91.6,
1999-01,91.0,
1999-04,90.8,
1999-07,90.8,
1999-10,92.7,
2000-01,93.3,
2000-04,94.4,
2000-07,95.3,
2000-10,96.1,
2001-01,96.1,
2001-04,96.6,
2001-07,95.8,
2001-10,96.8,
2002-01,96.2,
2002-04,96.0,
2002-07,94.9,
2002-10,95.1,
2003-01,95.3,
2003-04,94.7,
2003-07,94.3,
2003-10,93.1,
2004-01,93.7,
2004-04,92.5,
2004-07,87.6,
2004-10,85.5,
2005-01,86.8,
2005-04,84.2,
2005-07,79.2,
2005-10,78.1,
2006-01,77.4,
2006-04,76.6,
2006-07,73.2,
2006-10,72.7,
2007-01,73.0,
2007-04,72.2,
2007-07,71.4,
2007-10,70.9,
2008-01,70.1,
2008-04,69.3,
2008-07,68.4,
2008-10,68.3,
2009-01,67.0,
2009-04,70.6,
2009-07,69.1,
2009-10,68.6,
2010-01,67.2,
2010-04,83.8,
2010-07,81.9,
2010-10,115.9,
2011-01,115.5,
2011-04,114.0,
2011-07,115.8,
2011-10,122.0,
2012-01,126.7,
2012-04,138.0,
2012-07,152.9,
2012-10,161.7,
2013-01,165.1,
2013-04,167.0,
2013-07,169.7,
2013-10,174.3,
2014-01,169.0,
