"",BBK01.OEBB03M,BBK01.OEBB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:25,
2002-01,9.990,
2002-04,9.938,
2002-07,10.264,
2002-10,10.707,
2003-01,10.926,
2003-04,11.106,
2003-07,11.577,
2003-10,11.539,
2004-01,11.438,
2004-04,11.776,
2004-07,12.249,
2004-10,10.954,
2005-01,12.485,
2005-04,11.343,
2005-07,10.690,
2005-10,10.912,
2006-01,11.004,
2006-04,11.515,
2006-07,12.263,
2006-10,12.362,
2007-01,11.950,
2007-04,11.018,
2007-07,11.527,
2007-10,12.119,
2008-01,11.124,
2008-04,11.262,
2008-07,10.755,
2008-10,11.156,
2009-01,12.129,
2009-04,13.378,
2009-07,14.217,
2009-10,14.783,
2010-01,15.235,
2010-04,15.146,
2010-07,15.681,
2010-10,16.006,
2011-01,15.474,
2011-04,15.290,
2011-07,15.363,
2011-10,16.090,
2012-01,16.751,
2012-04,17.711,
2012-07,18.336,
2012-10,18.932,
2013-01,18.339,
2013-04,18.946,
2013-07,18.797,
2013-10,19.302,
2014-01,19.505,
2014-04,18.783,
2014-07,19.373,
