"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.D.F519._Z._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Other equity / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:49,
1991-01,410.996,
1991-04,972.038,
1991-07,1056.050,
1991-10,964.687,
1992-01,-453.712,
1992-04,-380.140,
1992-07,-528.856,
1992-10,-597.410,
1993-01,-276.148,
1993-04,-219.621,
1993-07,-1149.907,
1993-10,-121.172,
1994-01,-196.203,
1994-04,227.273,
1994-07,612.474,
1994-10,1440.832,
1995-01,765.882,
1995-04,510.733,
1995-07,1109.799,
1995-10,2617.216,
1996-01,1358.193,
1996-04,54.227,
1996-07,650.560,
1996-10,1734.932,
1997-01,-14.215,
1997-04,1550.817,
1997-07,2888.951,
1997-10,3180.807,
1998-01,1765.680,
1998-04,-17.722,
1998-07,184.172,
1998-10,3178.562,
1999-01,522.232,
1999-04,385.984,
1999-07,2520.362,
1999-10,-6945.987,
2000-01,-461.368,
2000-04,13504.057,
2000-07,8066.173,
2000-10,84672.846,
2001-01,13669.242,
2001-04,3757.289,
2001-07,-486.729,
2001-10,3668.372,
2002-01,8762.248,
2002-04,8282.896,
2002-07,4077.112,
2002-10,6137.024,
2003-01,14018.923,
2003-04,847.189,
2003-07,4776.604,
2003-10,18003.679,
2004-01,8376.081,
2004-04,-297.945,
2004-07,5414.619,
2004-10,16768.144,
2005-01,3859.279,
2005-04,5144.542,
2005-07,2646.566,
2005-10,-2898.227,
2006-01,2275.262,
2006-04,354.166,
2006-07,4423.344,
2006-10,20335.208,
2007-01,5233.142,
2007-04,6462.885,
2007-07,7327.044,
2007-10,11963.829,
2008-01,7902.014,
2008-04,6723.400,
2008-07,164.718,
2008-10,2871.217,
2009-01,-1437.112,
2009-04,-744.839,
2009-07,-2209.309,
2009-10,7092.302,
2010-01,1793.183,
2010-04,2904.189,
2010-07,3738.384,
2010-10,7685.737,
2011-01,4687.718,
2011-04,2258.518,
2011-07,7857.700,
2011-10,3658.300,
2012-01,1476.042,
2012-04,-1236.150,
2012-07,-4937.471,
2012-10,10617.602,
2013-01,-890.676,
2013-04,-524.798,
2013-07,608.571,
2013-10,4549.102,
2014-01,1295.899,
2014-04,-301.589,
2014-07,1520.202,
