"",BBK01.OEAA54H,BBK01.OEAA54H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:04,
2002-01,5.419,
2002-04,4.972,
2002-07,5.026,
2002-10,4.926,
2003-01,5.016,
2003-04,4.733,
2003-07,4.758,
2003-10,4.765,
2004-01,4.830,
2004-04,4.957,
2004-07,4.549,
2004-10,5.079,
2005-01,5.362,
2005-04,5.245,
2005-07,5.808,
2005-10,7.083,
2006-01,7.084,
2006-04,7.521,
2006-07,7.585,
2006-10,7.372,
2007-01,7.395,
2007-04,8.310,
2007-07,8.950,
2007-10,10.009,
2008-01,19.182,
2008-04,23.765,
2008-07,27.365,
2008-10,28.566,
2009-01,28.559,
2009-04,27.752,
2009-07,28.037,
2009-10,25.905,
2010-01,26.127,
2010-04,25.048,
2010-07,23.660,
2010-10,20.525,
2011-01,18.861,
2011-04,17.274,
2011-07,16.705,
2011-10,18.009,
2012-01,17.084,
2012-04,16.904,
2012-07,16.279,
2012-10,15.076,
2013-01,14.595,
2013-04,11.569,
2013-07,10.333,
2013-10,10.157,
2014-01,10.507,
2014-04,10.812,
2014-07,11.758,
