"",BBK01.OEAH05M,BBK01.OEAH05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:39,
2002-01,47.595,
2002-04,47.270,
2002-07,47.469,
2002-10,49.662,
2003-01,51.174,
2003-04,51.244,
2003-07,52.543,
2003-10,50.406,
2004-01,51.785,
2004-04,54.699,
2004-07,56.026,
2004-10,57.778,
2005-01,59.985,
2005-04,61.483,
2005-07,62.401,
2005-10,62.515,
2006-01,62.758,
2006-04,62.122,
2006-07,62.581,
2006-10,63.639,
2007-01,63.350,
2007-04,63.806,
2007-07,63.753,
2007-10,64.024,
2008-01,64.673,
2008-04,65.712,
2008-07,66.348,
2008-10,69.637,
2009-01,70.512,
2009-04,66.773,
2009-07,65.953,
2009-10,65.795,
2010-01,64.779,
2010-04,63.110,
2010-07,62.259,
2010-10,63.518,
2011-01,63.363,
2011-04,63.014,
2011-07,63.288,
2011-10,64.189,
2012-01,63.674,
2012-04,64.824,
2012-07,64.025,
2012-10,64.589,
2013-01,63.517,
2013-04,64.813,
2013-07,63.708,
2013-10,62.464,
2014-01,61.707,
2014-04,63.160,
2014-07,62.030,
