"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:30,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,67.727,
1992-07,300.987,
1992-10,-202.479,
1993-01,341.357,
1993-04,28.736,
1993-07,126.355,
1993-10,-172.774,
1994-01,62.149,
1994-04,185.736,
1994-07,-109.045,
1994-10,369.348,
1995-01,-427.941,
1995-04,855.411,
1995-07,-212.423,
1995-10,-240.732,
1996-01,91.648,
1996-04,101.497,
1996-07,526.156,
1996-10,1200.711,
1997-01,-557.914,
1997-04,-4.402,
1997-07,-35.864,
1997-10,-285.597,
1998-01,-184.948,
1998-04,1050.386,
1998-07,-2111.772,
1998-10,-437.900,
1999-01,-46.461,
1999-04,-217.701,
1999-07,-17.658,
1999-10,34.946,
2000-01,181.316,
2000-04,510.384,
2000-07,138.326,
2000-10,905.968,
2001-01,880.714,
2001-04,-186.181,
2001-07,1393.683,
2001-10,2510.730,
2002-01,-280.551,
2002-04,-100.117,
2002-07,2300.090,
2002-10,-1721.997,
2003-01,1389.407,
2003-04,-181.038,
2003-07,1475.672,
2003-10,-1419.774,
2004-01,580.029,
2004-04,189.913,
2004-07,-1855.358,
2004-10,4762.808,
2005-01,908.810,
2005-04,5862.004,
2005-07,3259.545,
2005-10,1182.230,
2006-01,5624.989,
2006-04,-1255.281,
2006-07,-345.678,
2006-10,5195.678,
2007-01,3114.950,
2007-04,4337.493,
2007-07,-4659.960,
2007-10,-11085.338,
2008-01,5598.210,
2008-04,730.135,
2008-07,14454.857,
2008-10,-5203.393,
2009-01,-1911.463,
2009-04,1198.500,
2009-07,2056.035,
2009-10,-1541.183,
2010-01,6430.820,
2010-04,3459.370,
2010-07,1888.057,
2010-10,1797.668,
2011-01,-1066.726,
2011-04,2904.687,
2011-07,3408.259,
2011-10,-2791.585,
2012-01,7347.092,
2012-04,517.828,
2012-07,4053.018,
2012-10,-31.348,
2013-01,7097.750,
2013-04,-4544.724,
2013-07,3777.908,
2013-10,-4632.082,
2014-01,6760.290,Provisional value
2014-04,-1334.713,Provisional value
2014-07,-157.162,Provisional value
2014-10,166.224,Provisional value
