"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:30,
1991-01,-0.072,
1991-04,0.095,
1991-07,-0.009,
1991-10,-,Nothing exists
1992-01,-0.038,
1992-04,0.203,
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-0.011,
1993-04,-0.964,
1993-07,-,Nothing exists
1993-10,-0.119,
1994-01,-0.128,
1994-04,-0.102,
1994-07,-0.411,
1994-10,-,Nothing exists
1995-01,0.444,
1995-04,-,Nothing exists
1995-07,0.048,
1995-10,-,Nothing exists
1996-01,-,Nothing exists
1996-04,-0.006,
1996-07,-0.092,
1996-10,-0.013,
1997-01,-0.018,
1997-04,-0.022,
1997-07,-0.003,
1997-10,-,Nothing exists
1998-01,-0.009,
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-0.094,
1999-01,-0.014,
1999-04,-0.047,
1999-07,-,Nothing exists
1999-10,-0.795,
2000-01,-0.162,
2000-04,-,Nothing exists
2000-07,-0.587,
2000-10,-0.032,
2001-01,-0.719,
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-14.208,
2002-01,-0.065,
2002-04,-,Nothing exists
2002-07,0.016,
2002-10,0.038,
2003-01,-,Nothing exists
2003-04,0.138,
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,0.027,
2005-07,-0.033,
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-0.017,
2006-10,-0.084,
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,0.025,
2007-10,-0.021,
2008-01,-0.025,
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,9.369,
2009-04,9.202,
2009-07,6.244,
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.027,
2010-10,-,Nothing exists
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,17.000,
2013-04,-19.000,
2013-07,2.000,
2013-10,3.000,
2014-01,1.000,Provisional value
2014-04,9.583,Provisional value
2014-07,21.000,Provisional value
2014-10,-9.000,Provisional value
