"",BBSF2.M.1.S.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:02,
2009-09,123847,
2009-10,124062,
2009-11,125772,
2009-12,129490,
2010-01,130033,
2010-02,130999,
2010-03,136230,
2010-04,139649,
2010-05,141529,
2010-06,141898,
2010-07,144391,
2010-08,147747,
2010-09,150848,
2010-10,152478,
2010-11,152134,
2010-12,145987,
2011-01,145502,
2011-02,146849,
2011-03,146148,
2011-04,149064,
2011-05,150608,
2011-06,149012,
2011-07,150867,
2011-08,146015,
2011-09,144652,
2011-10,146591,
2011-11,144934,
2011-12,148971,
2012-01,153474,
2012-02,163913,
2012-03,163910,
2012-04,167627,
2012-05,167356,
2012-06,171020,
2012-07,175840,
2012-08,175808,
2012-09,176943,
2012-10,178355,
2012-11,178811,
2012-12,181166,
2013-01,181181,
2013-02,185066,
2013-03,186890,
2013-04,189731,
2013-05,188289,
2013-06,182147,
2013-07,189266,
2013-08,188698,
2013-09,192150,
2013-10,194887,
2013-11,197127,
2013-12,194375,
2014-01,196040,
2014-02,198617,
2014-03,200023,
2014-04,201328,
2014-05,205624,
2014-06,207644,
2014-07,206972,
2014-08,190303,
2014-09,192397,
2014-10,201488,
2014-11,206634,
