"",BBK01.OECB06N,BBK01.OECB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:48,
2002-01,15.192,
2002-04,15.654,
2002-07,14.562,
2002-10,13.610,
2003-01,12.832,
2003-04,12.859,
2003-07,12.396,
2003-10,12.298,
2004-01,11.819,
2004-04,11.135,
2004-07,10.935,
2004-10,9.959,
2005-01,10.689,
2005-04,10.543,
2005-07,10.368,
2005-10,8.784,
2006-01,9.173,
2006-04,9.856,
2006-07,10.329,
2006-10,9.646,
2007-01,10.120,
2007-04,10.802,
2007-07,10.561,
2007-10,14.669,
2008-01,14.548,
2008-04,13.984,
2008-07,16.041,
2008-10,19.723,
2009-01,16.805,
2009-04,16.680,
2009-07,24.724,
2009-10,16.895,
2010-01,16.202,
2010-04,23.397,
2010-07,17.729,
2010-10,17.471,
2011-01,16.742,
2011-04,21.449,
2011-07,27.769,
2011-10,30.603,
2012-01,22.667,
2012-04,28.849,
2012-07,30.851,
2012-10,26.198,
2013-01,26.954,
2013-04,25.799,
2013-07,10.029,
2013-10,10.073,
2014-01,11.657,
2014-04,12.380,
2014-07,11.331,
