"",BBK01.OECI05R,BBK01.OECI05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:49,
2002-01,0.010,
2002-04,0.010,
2002-07,0.008,
2002-10,0.009,
2003-01,0.008,
2003-04,0.008,
2003-07,0.006,
2003-10,0.006,
2004-01,0.007,
2004-04,0.007,
2004-07,0.006,
2004-10,0.015,
2005-01,0.054,
2005-04,0.053,
2005-07,0.045,
2005-10,0.043,
2006-01,0.039,
2006-04,0.038,
2006-07,0.038,
2006-10,0.036,
2007-01,0.033,
2007-04,0.032,
2007-07,0.033,
2007-10,0.032,
2008-01,0.032,
2008-04,0.033,
2008-07,0.030,
2008-10,0.036,
2009-01,0.042,
2009-04,0.044,
2009-07,0.050,
2009-10,0.052,
2010-01,0.053,
2010-04,0.056,
2010-07,0.053,
2010-10,0.056,
2011-01,0.059,
2011-04,0.048,
2011-07,0.046,
2011-10,0.045,
2012-01,0.050,
2012-04,0.049,
2012-07,0.046,
2012-10,0.042,
2013-01,0.037,
2013-04,0.035,
2013-07,0.037,
2013-10,0.034,
2014-01,0.031,
2014-04,0.031,
2014-07,0.028,
