"",BBFB1.Q.N.DE.E14000.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:25,
1991-01,2559.645,
1991-04,1612.983,
1991-07,1879.937,
1991-10,2523.507,
1992-01,1747.674,
1992-04,1624.888,
1992-07,1299.042,
1992-10,1088.776,
1993-01,1090.538,
1993-04,1453.764,
1993-07,1328.732,
1993-10,2261.260,
1994-01,1108.025,
1994-04,1069.832,
1994-07,196.684,
1994-10,386.642,
1995-01,691.572,
1995-04,893.591,
1995-07,969.325,
1995-10,881.943,
1996-01,966.361,
1996-04,946.339,
1996-07,914.353,
1996-10,-56.060,
1997-01,350.023,
1997-04,1649.480,
1997-07,1580.102,
1997-10,1962.465,
1998-01,1532.671,
1998-04,2296.062,
1998-07,1650.567,
1998-10,1203.778,
1999-01,-927.917,
1999-04,787.251,
1999-07,-19.840,
1999-10,-1205.920,
2000-01,-1160.421,
2000-04,-427.636,
2000-07,-692.699,
2000-10,-2210.975,
2001-01,-1042.232,
2001-04,-136.444,
2001-07,-115.368,
2001-10,80.332,
2002-01,283.449,
2002-04,55.156,
2002-07,874.590,
2002-10,-9.016,
2003-01,-766.050,
2003-04,210.168,
2003-07,1474.727,
2003-10,-571.090,
2004-01,1527.158,
2004-04,1530.971,
2004-07,1107.393,
2004-10,520.267,
2005-01,719.581,
2005-04,-117.130,
2005-07,1036.854,
2005-10,-227.299,
2006-01,-2634.800,
2006-04,-2225.148,
2006-07,239.752,
2006-10,4920.277,
2007-01,345.184,
2007-04,1928.251,
2007-07,3008.562,
2007-10,1258.630,
2008-01,-720.457,
2008-04,447.717,
2008-07,-500.888,
2008-10,468.588,
2009-01,-1393.738,
2009-04,-247.414,
2009-07,586.791,
2009-10,1922.281,
2010-01,-57.532,
2010-04,236.835,
2010-07,3319.108,
2010-10,2749.121,
2011-01,813.461,
2011-04,2704.926,
2011-07,2385.693,
2011-10,-483.684,
2012-01,-765.526,
2012-04,454.218,
2012-07,1282.851,
2012-10,-549.215,
2013-01,526.193,
2013-04,2757.232,
2013-07,-431.544,
2013-10,-1146.101,
2014-01,-3442.430,Provisional value
2014-04,-1867.686,Provisional value
2014-07,-860.044,Provisional value
