"",BBK01.OECB11M,BBK01.OECB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:39,
2002-01,0.830,
2002-04,0.501,
2002-07,0.388,
2002-10,0.326,
2003-01,0.427,
2003-04,0.318,
2003-07,0.420,
2003-10,0.300,
2004-01,0.296,
2004-04,0.389,
2004-07,0.607,
2004-10,0.358,
2005-01,0.462,
2005-04,0.477,
2005-07,0.500,
2005-10,0.460,
2006-01,0.450,
2006-04,0.414,
2006-07,0.489,
2006-10,0.657,
2007-01,0.484,
2007-04,0.494,
2007-07,0.540,
2007-10,0.952,
2008-01,0.884,
2008-04,0.909,
2008-07,0.914,
2008-10,0.865,
2009-01,0.912,
2009-04,0.938,
2009-07,0.898,
2009-10,0.747,
2010-01,0.772,
2010-04,0.495,
2010-07,0.488,
2010-10,0.457,
2011-01,0.451,
2011-04,0.442,
2011-07,0.453,
2011-10,0.476,
2012-01,0.465,
2012-04,0.471,
2012-07,0.501,
2012-10,0.478,
2013-01,0.487,
2013-04,0.628,
2013-07,0.627,
2013-10,0.621,
2014-01,0.652,
2014-04,0.594,
2014-07,0.566,
