"",BBK01.RJ2062,BBK01.RJ2062_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:25:22,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,7,
1996,8,
1997,14,
1998,14,
1999,43,
2000,52,
2001,43,
2002,14,
2003,12,
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,25,
2008,63,
2009,76,
2010,94,
2011,112,
2012,113,
