"",BBK01.OEHB06G,BBK01.OEHB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:04,
2002-01,11.846,
2002-04,11.780,
2002-07,11.640,
2002-10,11.398,
2003-01,11.178,
2003-04,10.992,
2003-07,10.602,
2003-10,9.940,
2004-01,9.965,
2004-04,9.885,
2004-07,9.835,
2004-10,9.427,
2005-01,9.565,
2005-04,9.292,
2005-07,9.236,
2005-10,8.921,
2006-01,9.205,
2006-04,9.198,
2006-07,9.074,
2006-10,8.694,
2007-01,8.840,
2007-04,9.023,
2007-07,9.019,
2007-10,9.187,
2008-01,9.265,
2008-04,9.299,
2008-07,9.146,
2008-10,9.322,
2009-01,10.153,
2009-04,10.350,
2009-07,10.061,
2009-10,9.317,
2010-01,9.655,
2010-04,9.580,
2010-07,9.185,
2010-10,8.631,
2011-01,8.876,
2011-04,9.127,
2011-07,9.006,
2011-10,8.569,
2012-01,8.885,
2012-04,8.931,
2012-07,8.910,
2012-10,8.773,
2013-01,9.049,
2013-04,9.053,
2013-07,8.849,
2013-10,8.337,
2014-01,8.642,
2014-04,8.605,
2014-07,8.532,
