"",BBK01.OEAM04S,BBK01.OEAM04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:33,
2002-01,0.869,
2002-04,0.804,
2002-07,0.755,
2002-10,0.670,
2003-01,0.573,
2003-04,0.535,
2003-07,0.508,
2003-10,0.440,
2004-01,0.384,
2004-04,0.418,
2004-07,0.448,
2004-10,0.430,
2005-01,0.461,
2005-04,0.564,
2005-07,0.526,
2005-10,0.477,
2006-01,0.501,
2006-04,0.556,
2006-07,0.623,
2006-10,0.488,
2007-01,0.618,
2007-04,0.755,
2007-07,0.842,
2007-10,0.829,
2008-01,0.918,
2008-04,0.996,
2008-07,1.089,
2008-10,0.935,
2009-01,0.875,
2009-04,0.564,
2009-07,0.574,
2009-10,0.460,
2010-01,0.374,
2010-04,0.438,
2010-07,0.600,
2010-10,0.433,
2011-01,0.496,
2011-04,0.506,
2011-07,0.528,
2011-10,0.776,
2012-01,0.927,
2012-04,0.996,
2012-07,1.054,
2012-10,1.008,
2013-01,0.975,
2013-04,1.015,
2013-07,0.954,
2013-10,0.959,
2014-01,0.936,
2014-04,0.904,
2014-07,0.832,
