"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:32,
1991-01,7787.214,
1991-04,-832.790,
1991-07,3562.348,
1991-10,20725.973,
1992-01,5303.987,
1992-04,3905.068,
1992-07,5578.145,
1992-10,33671.282,
1993-01,43246.914,
1993-04,25957.767,
1993-07,12061.898,
1993-10,33197.770,
1994-01,-6769.449,
1994-04,-12616.298,
1994-07,9719.444,
1994-10,36634.346,
1995-01,9062.284,
1995-04,22704.442,
1995-07,-2134.256,
1995-10,11867.388,
1996-01,4364.796,
1996-04,5384.821,
1996-07,-4726.803,
1996-10,44203.319,
1997-01,23184.384,
1997-04,34925.688,
1997-07,18251.851,
1997-10,38150.962,
1998-01,66566.288,
1998-04,51106.860,
1998-07,16372.892,
1998-10,53660.843,
1999-01,107034.086,
1999-04,41756.701,
1999-07,63001.510,
1999-10,76155.386,
2000-01,108670.355,
2000-04,70481.199,
2000-07,78196.291,
2000-10,-6063.325,
2001-01,129128.012,
2001-04,3293.231,
2001-07,65962.821,
2001-10,14039.522,
2002-01,53596.384,
2002-04,71347.695,
2002-07,79854.367,
2002-10,25789.989,
2003-01,92711.782,
2003-04,53702.866,
2003-07,8260.155,
2003-10,28804.137,
2004-01,90525.453,
2004-04,-6028.542,
2004-07,92226.987,
2004-10,39209.920,
2005-01,138688.298,
2005-04,81293.291,
2005-07,43445.295,
2005-10,35591.770,
2006-01,176488.938,
2006-04,42100.673,
2006-07,67153.633,
2006-10,51427.771,
2007-01,128406.084,
2007-04,164034.968,
2007-07,82340.938,
2007-10,50589.904,
2008-01,185252.268,
2008-04,50597.157,
2008-07,24711.545,
2008-10,-70139.014,
2009-01,-6618.665,
2009-04,62817.372,
2009-07,-7755.429,
2009-10,48600.813,
2010-01,83545.996,
2010-04,100476.386,
2010-07,87619.688,
2010-10,57886.404,
2011-01,56380.636,
2011-04,68686.858,
2011-07,160667.867,
2011-10,-36621.127,
2012-01,241945.118,
2012-04,125847.919,
2012-07,26334.683,
2012-10,-37526.388,
2013-01,18662.687,
2013-04,36775.584,
2013-07,-30936.688,
2013-10,-50786.596,
2014-01,51881.502,Provisional value
2014-04,56186.017,Provisional value
2014-07,55710.448,Provisional value
2014-10,-37770.272,Provisional value
