"",BBK01.OEXL02O,BBK01.OEXL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:56,
2002-01,-12.084,
2002-04,-12.448,
2002-07,-12.095,
2002-10,-12.739,
2003-01,-12.734,
2003-04,-12.937,
2003-07,-13.066,
2003-10,-13.682,
2004-01,-13.735,
2004-04,-14.079,
2004-07,-14.079,
2004-10,-14.360,
2005-01,0.557,
2005-04,0.575,
2005-07,0.615,
2005-10,0.620,
2006-01,0.651,
2006-04,0.651,
2006-07,0.573,
2006-10,0.562,
2007-01,0.556,
2007-04,0.575,
2007-07,0.662,
2007-10,0.635,
2008-01,0.686,
2008-04,0.702,
2008-07,0.734,
2008-10,0.652,
2009-01,0.683,
2009-04,0.709,
2009-07,0.697,
2009-10,0.744,
2010-01,0.773,
2010-04,0.768,
2010-07,3.054,
2010-10,2.301,
2011-01,2.420,
2011-04,2.346,
2011-07,2.074,
2011-10,1.815,
2012-01,1.675,
2012-04,1.411,
2012-07,1.303,
2012-10,1.234,
2013-01,1.223,
2013-04,1.229,
2013-07,1.219,
2013-10,1.261,
2014-01,1.256,
2014-04,1.293,
2014-07,1.335,
