"",BBK01.OEBB06M,BBK01.OEBB06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:26,
2002-01,10.120,
2002-04,10.006,
2002-07,8.792,
2002-10,8.915,
2003-01,8.916,
2003-04,8.591,
2003-07,7.981,
2003-10,7.469,
2004-01,7.601,
2004-04,7.695,
2004-07,7.283,
2004-10,7.456,
2005-01,7.669,
2005-04,7.581,
2005-07,7.403,
2005-10,7.101,
2006-01,7.502,
2006-04,7.334,
2006-07,7.294,
2006-10,7.388,
2007-01,7.512,
2007-04,7.835,
2007-07,7.356,
2007-10,8.275,
2008-01,8.799,
2008-04,8.732,
2008-07,8.649,
2008-10,9.597,
2009-01,9.707,
2009-04,9.351,
2009-07,7.514,
2009-10,7.392,
2010-01,7.372,
2010-04,6.793,
2010-07,6.821,
2010-10,7.046,
2011-01,7.207,
2011-04,7.277,
2011-07,7.166,
2011-10,6.920,
2012-01,7.111,
2012-04,7.200,
2012-07,7.060,
2012-10,6.547,
2013-01,7.230,
2013-04,7.360,
2013-07,7.239,
2013-10,6.705,
2014-01,6.722,
2014-04,6.958,
2014-07,7.655,
