"",BBFN1.M.DE.N.1.A.NG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Nigeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:28,
1982-09,0.363,
1982-10,0.372,
1982-11,0.384,
1982-12,0.371,
1983-01,0.347,
1983-02,0.321,
1983-03,0.322,
1983-04,0.323,
1983-05,0.341,
1983-06,0.350,
1983-07,0.368,
1983-08,0.377,
1983-09,0.363,
1983-10,0.354,
1983-11,0.316,
1983-12,0.172,
1984-01,0.234,
1984-02,0.233,
1984-03,0.258,
1984-04,0.234,
1984-05,0.213,
1984-06,0.212,
1984-07,0.191,
1984-08,0.211,
1984-09,0.206,
1984-10,0.227,
1984-11,0.225,
1984-12,0.238,
1985-01,0.243,
1985-02,0.238,
1985-03,0.241,
1985-04,0.218,
1985-05,0.232,
1985-06,0.231,
1985-07,0.235,
1985-08,0.230,
1985-09,0.255,
1985-10,0.283,
1985-11,0.285,
1985-12,0.302,
1986-01,0.284,
1986-02,0.295,
1986-03,0.220,
1986-04,0.224,
1986-05,0.231,
1986-06,0.223,
1986-07,0.212,
1986-08,0.213,
1986-09,0.197,
1986-10,0.192,
1986-11,0.141,
1986-12,0.109,
1987-01,0.083,
1987-02,0.073,
1987-03,0.080,
1987-04,0.097,
1987-05,0.094,
1987-06,0.069,
1987-07,0.071,
1987-08,0.071,
1987-09,0.080,
1987-10,0.079,
1987-11,0.094,
1987-12,0.098,
1988-01,0.098,
1988-02,0.088,
1988-03,0.107,
1988-04,0.111,
1988-05,0.110,
1988-06,0.109,
1988-07,0.112,
1988-08,0.123,
1988-09,0.128,
1988-10,0.138,
1988-11,0.151,
1988-12,0.156,
1989-01,0.169,
1989-02,0.174,
1989-03,0.206,
1989-04,0.204,
1989-05,0.206,
1989-06,0.204,
1989-07,0.182,
1989-08,0.165,
1989-09,0.100,
1989-10,0.117,
1989-11,0.142,
1989-12,0.142,
1990-01,0.099,
1990-02,0.090,
1990-03,0.098,
1990-04,0.099,
1990-05,0.078,
1990-06,0.087,
1990-07,0.061,
1990-08,0.072,
1990-09,0.078,
1990-10,0.079,
1990-11,0.084,
1990-12,0.060,
1991-01,0.062,
1991-02,0.075,
1991-03,0.072,
1991-04,0.068,
1991-05,0.078,
1991-06,0.077,
1991-07,0.066,
1991-08,0.067,
1991-09,0.067,
1991-10,0.074,
1991-11,0.078,
1991-12,0.078,
1992-01,0.089,
1992-02,0.086,
1992-03,0.071,
1992-04,0.048,
1992-05,0.046,
1992-06,0.062,
1992-07,0.048,
1992-08,0.052,
1992-09,0.056,
1992-10,0.055,
1992-11,0.055,
1992-12,0.055,
1993-01,0.059,
1993-02,0.059,
1993-03,0.058,
1993-04,0.053,
1993-05,0.056,
1993-06,0.053,
1993-07,0.058,
1993-08,0.056,
1993-09,0.055,
1993-10,0.060,
1993-11,0.070,
1993-12,0.067,
1994-01,0.065,
1994-02,0.067,
1994-03,0.065,
1994-04,0.066,
1994-05,0.067,
1994-06,0.067,
1994-07,0.075,
1994-08,0.078,
1994-09,0.079,
1994-10,0.083,
1994-11,0.083,
1994-12,0.094,
1995-01,0.093,
1995-02,0.088,
1995-03,0.104,
1995-04,0.107,
1995-05,0.106,
1995-06,0.109,
1995-07,0.106,
1995-08,0.096,
1995-09,0.095,
1995-10,0.091,
1995-11,0.093,
1995-12,0.100,
1996-01,0.130,
1996-02,0.114,
1996-03,0.124,
1996-04,0.140,
1996-05,0.161,
1996-06,0.185,
1996-07,0.205,
1996-08,0.137,
1996-09,0.161,
1996-10,0.185,
1996-11,0.200,
1996-12,0.167,
1997-01,0.183,
1997-02,0.211,
1997-03,0.239,
1997-04,0.239,
1997-05,0.240,
1997-06,0.240,
1997-07,0.271,
1997-08,0.311,
1997-09,0.305,
1997-10,0.316,
1997-11,0.289,
1997-12,0.274,
1998-01,0.143,
1998-02,0.147,
1998-03,0.157,
1998-04,0.158,
1998-05,0.141,
1998-06,0.277,
1998-07,0.279,
1998-08,0.285,
1998-09,0.303,
1998-10,0.317,
1998-11,0.334,
1998-12,0.316,
1999-01,0.316,
1999-02,0.332,
1999-03,0.357,
1999-04,0.340,
1999-05,0.354,
1999-06,0.144,
1999-07,0.290,
1999-08,0.290,
1999-09,0.302,
1999-10,0.314,
1999-11,0.252,
1999-12,0.276,
2000-01,0.272,
2000-02,0.258,
2000-03,0.273,
2000-04,0.271,
2000-05,0.251,
2000-06,0.076,
2000-07,0.088,
2000-08,0.094,
2000-09,0.114,
2000-10,0.134,
2000-11,0.155,
2000-12,0.175,
2001-01,0.209,
2001-02,0.217,
2001-03,0.238,
2001-04,0.284,
2001-05,0.309,
2001-06,0.276,
2001-07,0.294,
2001-08,0.319,
2001-09,0.283,
2001-10,0.239,
2001-11,0.250,
2001-12,0.274,
2002-01,0.306,
2002-02,0.347,
2002-03,0.345,
2002-04,0.354,
2002-05,0.378,
2002-06,0.388,
2002-07,0.373,
2002-08,0.286,
2002-09,0.308,
2002-10,0.325,
2002-11,0.330,
2002-12,0.285,
2003-01,0.284,
2003-02,0.309,
2003-03,0.324,
2003-04,0.339,
2003-05,0.319,
2003-06,0.321,
2003-07,0.318,
2003-08,0.334,
2003-09,0.299,
2003-10,0.315,
2003-11,0.327,
2003-12,0.295,
2004-01,0.293,
2004-02,0.270,
2004-03,0.279,
2004-04,0.218,
2004-05,0.225,
2004-06,0.231,
2004-07,0.244,
2004-08,0.248,
2004-09,0.251,
2004-10,0.259,
2004-11,0.262,
2004-12,0.232,
2005-01,0.238,
2005-02,0.263,
2005-03,0.282,
2005-04,0.280,
2005-05,0.293,
2005-06,0.298,
2005-07,0.355,
2005-08,0.360,
2005-09,0.354,
2005-10,0.373,
2005-11,0.304,
2005-12,0.260,
2006-01,0.202,
2006-02,0.254,
2006-03,0.165,
2006-04,0.162,
2006-05,0.147,
2006-06,0.152,
2006-07,0.170,
2006-08,0.178,
2006-09,0.189,
2006-10,0.188,
2006-11,0.184,
2006-12,0.120,
2007-01,0.119,
2007-02,0.149,
2007-03,0.131,
2007-04,0.141,
2007-05,0.163,
