"",BBK01.OELI04L,BBK01.OELI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:46,
2002-01,5.644,
2002-04,5.476,
2002-07,5.430,
2002-10,5.514,
2003-01,5.199,
2003-04,4.942,
2003-07,4.905,
2003-10,4.884,
2004-01,4.625,
2004-04,4.488,
2004-07,4.444,
2004-10,4.460,
2005-01,4.302,
2005-04,4.458,
2005-07,4.534,
2005-10,4.792,
2006-01,4.685,
2006-04,4.700,
2006-07,4.936,
2006-10,5.347,
2007-01,5.427,
2007-04,5.731,
2007-07,6.362,
2007-10,7.602,
2008-01,7.788,
2008-04,8.479,
2008-07,9.140,
2008-10,10.107,
2009-01,9.161,
2009-04,7.754,
2009-07,6.790,
2009-10,5.905,
2010-01,5.549,
2010-04,5.402,
2010-07,5.469,
2010-10,5.721,
2011-01,5.671,
2011-04,5.732,
2011-07,6.007,
2011-10,6.253,
2012-01,5.469,
2012-04,5.065,
2012-07,4.558,
2012-10,4.705,
2013-01,4.338,
2013-04,4.156,
2013-07,4.187,
2013-10,4.294,
2014-01,4.060,
2014-04,4.051,
2014-07,3.854,
