"",BBK01.OEBB15K,BBK01.OEBB15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:13,
2002-01,0.438,
2002-04,0.427,
2002-07,0.416,
2002-10,0.435,
2003-01,0.531,
2003-04,0.499,
2003-07,0.475,
2003-10,0.439,
2004-01,0.412,
2004-04,0.426,
2004-07,0.422,
2004-10,0.359,
2005-01,0.327,
2005-04,0.332,
2005-07,0.332,
2005-10,0.347,
2006-01,0.331,
2006-04,0.332,
2006-07,0.340,
2006-10,0.344,
2007-01,0.353,
2007-04,0.340,
2007-07,0.346,
2007-10,0.345,
2008-01,0.336,
2008-04,0.340,
2008-07,0.338,
2008-10,0.356,
2009-01,0.372,
2009-04,0.399,
2009-07,0.383,
2009-10,0.434,
2010-01,0.434,
2010-04,0.485,
2010-07,0.476,
2010-10,0.528,
2011-01,0.558,
2011-04,0.597,
2011-07,0.638,
2011-10,0.663,
2012-01,0.649,
2012-04,0.656,
2012-07,0.663,
2012-10,0.675,
2013-01,0.687,
2013-04,0.685,
2013-07,0.693,
2013-10,0.707,
2014-01,0.707,
2014-04,0.689,
2014-07,0.781,
