"",BBK01.OEBB17I,BBK01.OEBB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:54,
2002-01,10.980,
2002-04,11.192,
2002-07,11.362,
2002-10,11.185,
2003-01,11.135,
2003-04,11.818,
2003-07,9.016,
2003-10,9.005,
2004-01,8.990,
2004-04,9.282,
2004-07,9.426,
2004-10,9.436,
2005-01,11.023,
2005-04,11.264,
2005-07,11.797,
2005-10,12.700,
2006-01,13.137,
2006-04,13.184,
2006-07,13.624,
2006-10,15.632,
2007-01,17.063,
2007-04,17.895,
2007-07,18.660,
2007-10,18.984,
2008-01,20.553,
2008-04,22.155,
2008-07,23.433,
2008-10,25.926,
2009-01,26.194,
2009-04,27.909,
2009-07,28.021,
2009-10,28.403,
2010-01,28.247,
2010-04,27.898,
2010-07,27.410,
2010-10,26.905,
2011-01,26.484,
2011-04,26.265,
2011-07,26.052,
2011-10,25.084,
2012-01,24.912,
2012-04,24.728,
2012-07,24.382,
2012-10,24.209,
2013-01,23.894,
2013-04,23.785,
2013-07,23.751,
2013-10,23.622,
2014-01,23.461,
2014-04,23.465,
2014-07,23.555,
