"",BBK01.CEFI0I,BBK01.CEFI0I_FLAGS
"",Listed shares               debtor: Total                              creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:48,
1999-01,234.7,
1999-04,230.0,
1999-07,208.4,
1999-10,280.4,
2000-01,295.7,
2000-04,279.9,
2000-07,268.8,
2000-10,262.4,
2001-01,236.4,
2001-04,226.5,
2001-07,185.7,
2001-10,213.5,
2002-01,210.6,
2002-04,176.9,
2002-07,104.4,
2002-10,119.1,
2003-01,97.6,
2003-04,114.1,
2003-07,114.9,
2003-10,152.8,
2004-01,148.4,
2004-04,151.7,
2004-07,146.1,
2004-10,163.7,
2005-01,168.2,
2005-04,172.7,
2005-07,181.3,
2005-10,189.7,
2006-01,206.0,
2006-04,186.4,
2006-07,193.1,
2006-10,202.2,
2007-01,206.2,
2007-04,219.8,
2007-07,209.7,
2007-10,203.8,
2008-01,171.3,
2008-04,167.7,
2008-07,146.6,
2008-10,127.9,
2009-01,113.4,
2009-04,131.2,
2009-07,156.5,
2009-10,163.3,
2010-01,173.8,
2010-04,167.4,
2010-07,175.3,
2010-10,197.1,
2011-01,200.4,
2011-04,202.7,
2011-07,160.7,
2011-10,172.6,
2012-01,196.6,
2012-04,179.1,
2012-07,194.8,
2012-10,201.9,
2013-01,208.7,
2013-04,206.0,
2013-07,217.7,
2013-10,233.3,
2014-01,238.6,
2014-04,242.4,
2014-07,236.4,
