"",BBK01.OEAF08I,BBK01.OEAF08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:34,
2002-01,0.859,
2002-04,0.991,
2002-07,1.017,
2002-10,0.872,
2003-01,0.997,
2003-04,0.966,
2003-07,0.940,
2003-10,0.811,
2004-01,0.874,
2004-04,0.871,
2004-07,0.885,
2004-10,0.878,
2005-01,0.876,
2005-04,0.875,
2005-07,0.902,
2005-10,1.028,
2006-01,0.901,
2006-04,0.708,
2006-07,0.796,
2006-10,0.774,
2007-01,0.785,
2007-04,0.773,
2007-07,0.734,
2007-10,0.704,
2008-01,0.703,
2008-04,0.679,
2008-07,0.590,
2008-10,0.760,
2009-01,0.547,
2009-04,0.607,
2009-07,0.739,
2009-10,0.749,
2010-01,0.739,
2010-04,0.740,
2010-07,0.766,
2010-10,0.779,
2011-01,0.737,
2011-04,0.723,
2011-07,0.706,
2011-10,0.694,
2012-01,0.688,
2012-04,0.686,
2012-07,0.576,
2012-10,0.571,
2013-01,0.582,
2013-04,0.577,
2013-07,0.585,
2013-10,0.586,
2014-01,0.581,
2014-04,0.584,
2014-07,0.604,
