"",BBK01.OEAC52O,BBK01.OEAC52O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:13,
2002-01,0.657,
2002-04,0.651,
2002-07,0.651,
2002-10,0.652,
2003-01,0.671,
2003-04,0.666,
2003-07,0.638,
2003-10,0.637,
2004-01,0.634,
2004-04,0.628,
2004-07,0.642,
2004-10,0.632,
2005-01,0.667,
2005-04,0.676,
2005-07,0.682,
2005-10,0.634,
2006-01,0.642,
2006-04,0.628,
2006-07,0.633,
2006-10,0.618,
2007-01,0.618,
2007-04,0.631,
2007-07,0.627,
2007-10,0.660,
2008-01,0.673,
2008-04,0.681,
2008-07,0.649,
2008-10,0.753,
2009-01,0.878,
2009-04,0.716,
2009-07,0.745,
2009-10,0.742,
2010-01,0.637,
2010-04,0.774,
2010-07,0.805,
2010-10,0.771,
2011-01,0.779,
2011-04,0.782,
2011-07,0.790,
2011-10,0.798,
2012-01,0.781,
2012-04,0.794,
2012-07,0.775,
2012-10,0.779,
2013-01,0.818,
2013-04,0.827,
2013-07,0.830,
2013-10,0.857,
2014-01,0.844,
2014-04,0.888,
2014-07,0.921,
