"",BBEX3.M.MNT.USD.CA.AC.A01,BBEX3.M.MNT.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Mongolia / USD 1 = MNT ... (middle),
unit,MNT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:14,
1993-05,394.0000,
1993-06,400.0000,
1993-07,395.0000,
1993-08,390.0000,
1993-09,389.0000,
1993-10,391.3100,
1993-11,395.0000,
1993-12,396.5100,
1994-01,402.2000,
1994-02,403.0000,
1994-03,409.3200,
1994-04,409.4500,
1994-05,410.4800,
1994-06,411.5800,
1994-07,413.6700,
1994-08,415.9000,
1994-09,411.4200,
1994-10,410.4300,
1994-11,411.9622,
1994-12,414.0909,
1995-01,415.5668,
1995-02,424.0000,
1995-03,432.7515,
1995-04,439.5029,
1995-05,448.5520,
1995-06,449.1000,
1995-07,453.3000,
1995-08,460.1800,
1995-09,462.8600,
1995-10,466.6700,
1995-11,471.1000,
1995-12,473.6200,
1996-01,478.4800,
1996-02,485.3800,
1996-03,489.1500,
1996-04,494.3600,
1996-05,511.4100,
1996-06,531.1400,
1996-07,537.0500,
1996-08,565.1500,
1996-09,601.7000,
1996-10,614.1800,
1996-11,694.8100,
1996-12,693.5100,
1997-01,730.1900,
1997-02,740.3500,
1997-03,830.0000,
1997-04,796.7600,
1997-05,791.7000,
1997-06,797.9900,
1997-07,800.3200,
1997-08,804.8600,
1997-09,804.3000,
1997-10,806.0000,
1997-11,809.3100,
1997-12,813.1600,
1998-01,816.6100,
1998-02,816.5000,
1998-03,817.6100,
1998-04,819.5200,
1998-05,824.6100,
1998-06,838.6300,
1998-07,840.5600,
1998-08,849.9200,
1998-09,855.0000,
1998-10,863.2400,
1998-11,880.8300,
1998-12,902.0000,
1999-01,950.0000,
1999-02,985.0000,
1999-03,1041.2400,
1999-04,1014.4300,
1999-05,1005.0000,
1999-06,1014.7300,
1999-07,1018.1800,
1999-08,1046.9600,
1999-09,1058.6200,
1999-10,1070.4600,
1999-11,1070.0000,
1999-12,1072.3700,
2000-01,1087.6100,
2000-02,1092.7500,
2000-03,1090.0000,
2000-04,1035.0000,
2000-05,1032.7000,
2000-06,1065.0000,
2000-07,1075.3700,
2000-08,1082.5400,
2000-09,1085.6200,
2000-10,1096.0000,
2000-11,1097.0000,
2000-12,1097.0000,
2001-01,1099.0000,
2001-02,1098.0000,
2001-03,1097.0000,
2001-04,1091.0000,
2001-05,1095.0000,
2001-06,1097.0000,
2001-07,1098.0000,
2001-08,1099.0000,
2001-09,1099.0000,
2001-10,1100.0000,
2001-11,1100.0000,
2001-12,1102.0000,
2002-01,1102.0000,
2002-02,1104.0000,
2002-03,1104.0000,
2002-04,1104.0000,
2002-05,1103.0000,
2002-06,1105.0000,
2002-07,1110.0000,
2002-08,1116.0000,
2002-09,1117.0000,
2002-10,1121.0000,
2002-11,1123.0000,
2002-12,1125.0000,
2003-01,1132.0000,
2003-02,1138.0000,
2003-03,1140.0000,
2003-04,1134.0000,
2003-05,1130.0000,
2003-06,1139.0000,
2003-07,1153.0000,
2003-08,1154.0000,
2003-09,1159.0000,
2003-10,1165.0000,
2003-11,1171.0000,
2003-12,1168.0000,
2004-01,1171.0000,
2004-02,1176.0000,
2004-03,1177.0000,
2004-04,1170.0000,
2004-05,1159.0000,
2004-06,1174.0000,
2004-07,1188.0000,
2004-08,1193.0000,
2004-09,1202.0000,
2004-10,1207.0000,
2004-11,1214.0000,
2004-12,1209.0000,
2005-01,1208.0000,
2005-02,1208.0000,
2005-03,1192.0000,
2005-04,1188.0000,
2005-05,1189.0000,
2005-06,1193.0000,
2005-07,1193.0000,
2005-08,1205.0000,
2005-09,1215.0000,
2005-10,1221.0000,
2005-11,1228.0000,
2005-12,1221.0000,
2006-01,1218.0000,
2006-02,1200.0000,
2006-03,1174.0000,
2006-04,1192.0000,
2006-05,1175.0000,
2006-06,1172.0000,
2006-07,1169.0000,
2006-08,1168.0000,
2006-09,1168.0000,
2006-10,1165.0000,
2006-11,1164.0000,
2006-12,1165.0000,
2007-01,1166.0000,
2007-02,1164.0000,
2007-03,1165.0000,
2007-04,1165.0000,
2007-05,1165.0000,
2007-06,1163.6300,
2007-07,1165.1300,
2007-08,1187.2800,
2007-09,1184.2600,
2007-10,1177.5100,
2007-11,1171.8200,
2007-12,1169.9700,
2008-01,1171.7700,
2008-02,1171.8200,
2008-03,1168.1700,
2008-04,1164.9400,
2008-05,1161.3700,
2008-06,1158.1200,
2008-07,1155.3500,
2008-08,1150.9100,
2008-09,1146.0900,
2008-10,1144.3700,
2008-11,1170.6400,
2008-12,1267.5100,
2009-01,1381.6600,
2009-02,1471.4500,
2009-03,1524.0700,
2009-04,1423.8600,
2009-05,1428.3700,
2009-06,1435.4900,
2009-07,1455.3000,
2009-08,1429.0500,
2009-09,1426.0100,
2009-10,1424.6200,
2009-11,1446.4100,
2009-12,1442.8400,
2010-01,1456.0600,
2010-02,1447.7500,
2010-03,1367.1000,
2010-04,1372.4600,
2010-05,1384.8500,
2010-06,1368.6500,
2010-07,1356.2900,
2010-08,1301.8000,
2010-09,1325.5900,
2010-10,1285.4700,
2010-11,1246.6900,
2010-12,1257.1800,
2011-01,1245.4600,
2011-02,1254.5100,
2011-03,1195.2700,
2011-04,1258.4700,
2011-05,1245.3500,
2011-06,1258.6400,
2011-07,1251.2500,
2011-08,1248.6700,
2011-09,1285.6400,
2011-10,1297.6700,
2011-11,1340.9000,
2011-12,1396.3700,
2012-01,1366.3000,
2012-02,1340.1900,
2012-03,1325.1600,
2012-04,1316.8100,
2012-05,1316.0000,
2012-06,1341.1600,
2012-07,1349.1000,
2012-08,1381.9900,
2012-09,1394.4700,
2012-10,1397.2800,
2012-11,1397.2800,
2012-12,1392.1000,
2013-01,1392.5600,
2013-02,1402.1500,
2013-03,1410.3200,
2013-04,1436.1200,
2013-05,1442.2000,
2013-06,1446.1700,
2013-07,1499.6000,
2013-08,1616.9800,
2013-09,1655.4400,
2013-10,1716.2800,
2013-11,1741.7100,
2013-12,1659.3400,
2014-01,1723.2200,
2014-02,1752.3800,
2014-03,1782.0100,
2014-04,1796.1900,
2014-05,1818.6500,
2014-06,1825.7400,
2014-07,1870.9200,
2014-08,1811.0300,
2014-09,1840.9100,
2014-10,1862.3600,
2014-11,1895.1700,
2014-12,1888.4400,
2015-01,1944.7800,
2015-02,1974.5200,
"","Source: Bank of Mongolia, Ulan-Bator.",
