"",BBK01.OEAF02M,BBK01.OEAF02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:25,
2002-01,93.122,
2002-04,93.909,
2002-07,96.034,
2002-10,96.987,
2003-01,98.516,
2003-04,99.930,
2003-07,101.896,
2003-10,101.587,
2004-01,101.696,
2004-04,102.137,
2004-07,101.273,
2004-10,101.362,
2005-01,106.168,
2005-04,107.194,
2005-07,108.520,
2005-10,109.420,
2006-01,109.509,
2006-04,112.105,
2006-07,112.798,
2006-10,112.580,
2007-01,114.698,
2007-04,111.857,
2007-07,112.224,
2007-10,111.896,
2008-01,110.557,
2008-04,110.830,
2008-07,110.025,
2008-10,109.788,
2009-01,109.803,
2009-04,111.837,
2009-07,112.858,
2009-10,112.744,
2010-01,112.274,
2010-04,112.482,
2010-07,113.093,
2010-10,113.246,
2011-01,112.586,
2011-04,112.450,
2011-07,112.284,
2011-10,112.267,
2012-01,112.033,
2012-04,112.936,
2012-07,113.516,
2012-10,113.870,
2013-01,113.011,
2013-04,113.651,
2013-07,114.165,
2013-10,114.583,
2014-01,114.584,
2014-04,114.368,
2014-07,115.267,
