"",BBK01.OEBL05S,BBK01.OEBL05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:30,
2002-01,0.008,
2002-04,0.009,
2002-07,0.008,
2002-10,0.005,
2003-01,0.007,
2003-04,0.006,
2003-07,0.008,
2003-10,0.005,
2004-01,0.005,
2004-04,0.006,
2004-07,0.008,
2004-10,0.007,
2005-01,0.086,
2005-04,0.085,
2005-07,0.082,
2005-10,0.080,
2006-01,0.076,
2006-04,0.077,
2006-07,0.077,
2006-10,0.076,
2007-01,0.073,
2007-04,0.075,
2007-07,0.074,
2007-10,0.073,
2008-01,0.072,
2008-04,0.069,
2008-07,0.066,
2008-10,0.071,
2009-01,0.079,
2009-04,0.086,
2009-07,0.095,
2009-10,0.102,
2010-01,0.103,
2010-04,0.101,
2010-07,0.101,
2010-10,0.099,
2011-01,0.104,
2011-04,0.093,
2011-07,0.088,
2011-10,0.086,
2012-01,0.079,
2012-04,0.072,
2012-07,0.069,
2012-10,0.069,
2013-01,0.065,
2013-04,0.065,
2013-07,0.066,
2013-10,0.069,
2014-01,0.062,
2014-04,0.061,
2014-07,0.058,
