"",BBK01.OEHB24O,BBK01.OEHB24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:26,
2002-01,0.903,
2002-04,0.889,
2002-07,0.902,
2002-10,0.926,
2003-01,0.944,
2003-04,0.962,
2003-07,0.975,
2003-10,0.993,
2004-01,0.997,
2004-04,1.009,
2004-07,1.018,
2004-10,1.009,
2005-01,1.016,
2005-04,1.031,
2005-07,1.043,
2005-10,1.095,
2006-01,1.127,
2006-04,1.157,
2006-07,1.146,
2006-10,1.137,
2007-01,1.129,
2007-04,1.168,
2007-07,1.162,
2007-10,1.185,
2008-01,1.204,
2008-04,1.166,
2008-07,1.169,
2008-10,1.197,
2009-01,1.245,
2009-04,1.214,
2009-07,1.215,
2009-10,1.251,
2010-01,1.269,
2010-04,1.304,
2010-07,1.327,
2010-10,1.391,
2011-01,1.424,
2011-04,1.471,
2011-07,1.540,
2011-10,1.629,
2012-01,1.662,
2012-04,1.643,
2012-07,1.668,
2012-10,1.729,
2013-01,1.793,
2013-04,1.806,
2013-07,1.839,
2013-10,1.879,
2014-01,1.914,
2014-04,1.827,
2014-07,1.845,
