"",BBSF2.M.1.T.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.TOT01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds total / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:11,
2009-09,253595,
2009-10,255957,
2009-11,260557,
2009-12,262626,
2010-01,269527,
2010-02,273372,
2010-03,278380,
2010-04,268846,
2010-05,268153,
2010-06,267739,
2010-07,272602,
2010-08,279603,
2010-09,279178,
2010-10,282184,
2010-11,273249,
2010-12,268203,
2011-01,267221,
2011-02,270248,
2011-03,271204,
2011-04,270241,
2011-05,270935,
2011-06,267869,
2011-07,267799,
2011-08,267482,
2011-09,263738,
2011-10,263034,
2011-11,253915,
2011-12,262337,
2012-01,267850,
2012-02,278218,
2012-03,282941,
2012-04,282467,
2012-05,285989,
2012-06,284741,
2012-07,292999,
2012-08,297690,
2012-09,301915,
2012-10,307082,
2012-11,315794,
2012-12,321815,
2013-01,326232,
2013-02,328947,
2013-03,333402,
2013-04,341732,
2013-05,340646,
2013-06,331616,
2013-07,335869,
2013-08,335153,
2013-09,337490,
2013-10,338752,
2013-11,342139,
2013-12,340560,
2014-01,350484,
2014-02,354974,
2014-03,362575,
2014-04,365564,
2014-05,372030,
2014-06,371882,
2014-07,373637,
2014-08,380285,
2014-09,379207,
2014-10,379670,
2014-11,384967,
