"",BBK01.CE3K0N,BBK01.CE3K0N_FLAGS
"",Net financial assets debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:02,
1991-01,-216.2,
1991-04,-203.6,
1991-07,-205.4,
1991-10,-177.2,
1992-01,-186.7,
1992-04,-187.3,
1992-07,-177.4,
1992-10,-153.9,
1993-01,-156.9,
1993-04,-154.3,
1993-07,-137.3,
1993-10,-125.7,
1994-01,-118.0,
1994-04,-111.4,
1994-07,-111.2,
1994-10,-102.9,
1995-01,-91.8,
1995-04,-76.7,
1995-07,-67.4,
1995-10,-42.6,
1996-01,-46.8,
1996-04,-45.6,
1996-07,-39.6,
1996-10,-28.7,
1997-01,-16.7,
1997-04,-18.5,
1997-07,-45.3,
1997-10,-15.3,
1998-01,-44.5,
1998-04,-13.1,
1998-07,-8.2,
1998-10,41.0,
1999-01,-37.4,
1999-04,-82.1,
1999-07,-109.8,
1999-10,2.0,
2000-01,65.0,
2000-04,48.1,
2000-07,-7.9,
2000-10,15.7,
2001-01,123.6,
2001-04,67.1,
2001-07,145.6,
2001-10,-72.4,
2002-01,-68.8,
2002-04,20.8,
2002-07,-0.5,
2002-10,54.9,
2003-01,105.2,
2003-04,98.7,
2003-07,91.0,
2003-10,77.0,
2004-01,108.1,
2004-04,20.5,
2004-07,-0.2,
2004-10,-0.5,
2005-01,-76.1,
2005-04,-125.6,
2005-07,-166.3,
2005-10,-254.0,
2006-01,256.3,
2006-04,194.3,
2006-07,131.6,
2006-10,44.9,
2007-01,43.9,
2007-04,31.4,
2007-07,21.9,
2007-10,-62.9,
2008-01,-180.7,
2008-04,-305.2,
2008-07,-369.4,
2008-10,-397.1,
2009-01,-417.2,
2009-04,-414.5,
2009-07,-374.7,
2009-10,-419.5,
2010-01,-442.2,
2010-04,-521.1,
2010-07,-470.4,
2010-10,-409.0,
2011-01,-445.7,
2011-04,-449.9,
2011-07,-503.2,
2011-10,-538.2,
2012-01,-527.5,
2012-04,-626.5,
2012-07,-666.7,
2012-10,-698.7,
2013-01,-714.2,
2013-04,-714.7,
2013-07,-766.5,
2013-10,-752.9,
2014-01,-801.2,
