"",BBK01.TVD420,BBK01.TVD420_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / in other member states / Enterprises and households / of which Loans / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:56,
1980-01,0,
1980-02,50,
1980-03,258,
1980-04,84,
1980-05,-22,
1980-06,-29,
1980-07,-57,
1980-08,94,
1980-09,-3,
1980-10,225,
1980-11,204,
1980-12,-66,
1981-01,25,
1981-02,3,
1981-03,132,
1981-04,-87,
1981-05,231,
1981-06,-9,
1981-07,92,
1981-08,53,
1981-09,-121,
1981-10,133,
1981-11,158,
1981-12,141,
1982-01,-180,
1982-02,96,
1982-03,-2,
1982-04,-108,
1982-05,58,
1982-06,31,
1982-07,-24,
1982-08,36,
1982-09,79,
1982-10,34,
1982-11,89,
1982-12,51,
1983-01,-174,
1983-02,-48,
1983-03,-109,
1983-04,22,
1983-05,76,
1983-06,206,
1983-07,-116,
1983-08,-22,
1983-09,126,
1983-10,43,
1983-11,134,
1983-12,177,
1984-01,-113,
1984-02,33,
1984-03,-10,
1984-04,-56,
1984-05,102,
1984-06,41,
1984-07,-19,
1984-08,20,
1984-09,377,
1984-10,117,
1984-11,173,
1984-12,381,
1985-01,-93,
1985-02,377,
1985-03,-182,
1985-04,-62,
1985-05,-48,
1985-06,370,
1985-07,-203,
1985-08,49,
1985-09,23,
1985-10,147,
1985-11,164,
1985-12,650,
1986-01,-90,
1986-02,342,
1986-03,119,
1986-04,-34,
1986-05,262,
1986-06,154,
1986-07,-158,
1986-08,348,
1986-09,516,
1986-10,-38,
1986-11,497,
1986-12,133,
1987-01,-70,
1987-02,152,
1987-03,327,
1987-04,62,
1987-05,299,
1987-06,292,
1987-07,-155,
1987-08,30,
1987-09,13,
1987-10,-81,
1987-11,-134,
1987-12,-73,
1988-01,-99,
1988-02,132,
1988-03,-102,
1988-04,-147,
1988-05,158,
1988-06,504,
1988-07,193,
1988-08,266,
1988-09,277,
1988-10,-16,
1988-11,61,
1988-12,-12,
1989-01,-306,
1989-02,-143,
1989-03,211,
1989-04,235,
1989-05,586,
1989-06,361,
1989-07,-21,
1989-08,267,
1989-09,173,
1989-10,108,
1989-11,911,
1989-12,263,
1990-01,-93,
1990-02,239,
1990-03,-40,
1990-04,139,
1990-05,216,
1990-06,1098,
1990-07,150,
1990-08,37,
1990-09,367,
1990-10,-343,
1990-11,438,
1990-12,475,
1991-01,-275,
1991-02,668,
1991-03,54,
1991-04,-608,
1991-05,-205,
1991-06,403,
1991-07,-549,
1991-08,167,
1991-09,-67,
1991-10,142,
1991-11,440,
1991-12,76,
1992-01,-58,
1992-02,-94,
1992-03,24,
1992-04,-105,
1992-05,-202,
1992-06,-448,
1992-07,-37,
1992-08,69,
1992-09,22,
1992-10,832,
1992-11,333,
1992-12,-396,
1993-01,-288,
1993-02,720,
1993-03,452,
1993-04,16,
1993-05,266,
1993-06,1283,
1993-07,48,
1993-08,-1153,
1993-09,691,
1993-10,281,
1993-11,811,
1993-12,1711,
1994-01,314,
1994-02,-625,
1994-03,-104,
1994-04,155,
1994-05,-733,
1994-06,-11,
1994-07,-395,
1994-08,-159,
1994-09,333,
1994-10,-667,
1994-11,29,
1994-12,-653,
1995-01,-156,
1995-02,-2,
1995-03,-392,
1995-04,-104,
1995-05,621,
1995-06,-238,
1995-07,-196,
1995-08,598,
1995-09,-233,
1995-10,-471,
1995-11,-6,
1995-12,393,
1996-01,-22,
1996-02,-134,
1996-03,-1385,
1996-04,420,
1996-05,123,
1996-06,197,
1996-07,-843,
1996-08,-457,
1996-09,-293,
1996-10,-52,
1996-11,240,
1996-12,949,
1997-01,-203,
1997-02,635,
1997-03,355,
1997-04,447,
1997-05,1110,
1997-06,220,
1997-07,-1110,
1997-08,163,
1997-09,-176,
1997-10,213,
1997-11,163,
1997-12,433,
1998-01,880,
1998-02,1110,
1998-03,410,
1998-04,-816,
1998-05,475,
1998-06,-288,
1998-07,494,
1998-08,1157,
1998-09,1753,
1998-10,17,
1998-11,551,
1998-12,937,
1999-01,1759,
1999-02,-1542,
1999-03,3099,
1999-04,-1723,
1999-05,1053,
1999-06,1005,
1999-07,1327,
1999-08,-956,
1999-09,64,
1999-10,2035,
1999-11,313,
1999-12,-57,
2000-01,1696,
2000-02,59,
2000-03,540,
2000-04,111,
2000-05,-550,
2000-06,-629,
2000-07,821,
2000-08,1404,
2000-09,1370,
2000-10,-90,
2000-11,2133,
2000-12,357,
2001-01,729,
2001-02,268,
2001-03,2025,
2001-04,-613,
2001-05,-372,
2001-06,2423,
2001-07,-774,
2001-08,-137,
2001-09,1852,
2001-10,538,
2001-11,596,
2001-12,1176,
2002-01,893,
2002-02,1343,
2002-03,4073,
2002-04,1702,
2002-05,1504,
2002-06,-524,
2002-07,-1982,
2002-08,-947,
2002-09,1068,
2002-10,-156,
2002-11,1986,
2002-12,3062,
2003-01,-2647,
2003-02,5816,
2003-03,26,
2003-04,1920,
2003-05,1023,
2003-06,-5095,
2003-07,275,
2003-08,2363,
2003-09,247,
2003-10,-4201,
2003-11,4348,
2003-12,-1419,
2004-01,-1565,
2004-02,4030,
2004-03,1611,
2004-04,1718,
2004-05,-2343,
2004-06,157,
2004-07,1172,
2004-08,146,
2004-09,627,
2004-10,-48,
2004-11,2734,
2004-12,-5111,
2005-01,4128,
2005-02,355,
2005-03,-5411,
2005-04,4073,
2005-05,75,
2005-06,2345,
2005-07,-4201,
2005-08,-990,
2005-09,2390,
2005-10,1573,
2005-11,526,
2005-12,-2698,
2006-01,4836,
2006-02,3409,
2006-03,2784,
2006-04,8197,
2006-05,-2328,
2006-06,601,
2006-07,-1228,
2006-08,686,
2006-09,5263,
2006-10,2230,
2006-11,52,
2006-12,-3642,
2007-01,3794,
2007-02,3100,
2007-03,2188,
2007-04,989,
2007-05,2867,
2007-06,4829,
2007-07,-2942,
2007-08,11947,
2007-09,5085,
2007-10,5360,
2007-11,1192,
2007-12,3049,
2008-01,9919,
2008-02,-4949,
2008-03,5431,
2008-04,3768,
2008-05,3195,
2008-06,12252,
2008-07,3386,
2008-08,4026,
2008-09,7152,
2008-10,2507,
2008-11,4388,
2008-12,-10694,
2009-01,6132,
2009-02,-6665,
2009-03,-1060,
2009-04,-839,
2009-05,2206,
2009-06,6269,
2009-07,-4566,
2009-08,-2604,
2009-09,3241,
2009-10,-5512,
2009-11,-879,
2009-12,-2858,
2010-01,-959,
2010-02,277,
2010-03,-385,
2010-04,12703,
2010-05,-3308,
2010-06,-2506,
2010-07,2514,
2010-08,-824,
2010-09,-4535,
2010-10,-3303,
2010-11,3210,
2010-12,-2635,
2011-01,-3582,
2011-02,-1343,
2011-03,-86,
2011-04,9265,
2011-05,-4632,
2011-06,10,
2011-07,-13,
2011-08,1086,
2011-09,6796,
2011-10,-6088,
2011-11,-160,
2011-12,-6716,
2012-01,-2899,
2012-02,1263,
2012-03,1717,
2012-04,2941,
2012-05,-4426,
2012-06,222,
2012-07,942,
2012-08,-226,
2012-09,1332,
2012-10,-1126,
2012-11,412,
2012-12,-1620,
2013-01,70,
2013-02,-466,
2013-03,46,
2013-04,1860,
2013-05,-2974,
2013-06,-3275,
2013-07,-491,
2013-08,-1062,
2013-09,-1703,
2013-10,-1499,
2013-11,1463,
2013-12,-1318,
2014-01,1757,
2014-02,-284,
2014-03,-566,
2014-04,3002,
2014-05,239,
2014-06,-895,
2014-07,568,
2014-08,-1135,
2014-09,-3016,
2014-10,872,
2014-11,-1463,
2014-12,-2265,
2015-01,5426,
