"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Austria,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:36,
2009-09,13557,
2009-10,13585,
2009-11,13633,
2009-12,13580,
2010-01,12987,
2010-02,13085,
2010-03,13167,
2010-04,13332,
2010-05,13550,
2010-06,13938,
2010-07,13829,
2010-08,14295,
2010-09,14293,
2010-10,14302,
2010-11,14246,
2010-12,14129,
2011-01,13622,
2011-02,13731,
2011-03,13308,
2011-04,13191,
2011-05,13425,
2011-06,13322,
2011-07,14038,
2011-08,14264,
2011-09,14692,
2011-10,14879,
2011-11,14469,
2011-12,15078,
2012-01,15480,
2012-02,16313,
2012-03,16522,
2012-04,16917,
2012-05,17764,
2012-06,18088,
2012-07,18096,
2012-08,18098,
2012-09,18255,
2012-10,18294,
2012-11,18479,
2012-12,18639,
2013-01,18329,
2013-02,18293,
2013-03,18366,
2013-04,19224,
2013-05,19040,
2013-06,18341,
2013-07,18559,
2013-08,18159,
2013-09,18218,
2013-10,18484,
2013-11,18966,
2013-12,18827,
2014-01,19332,
2014-02,18984,
2014-03,19155,
2014-04,19230,
2014-05,20018,
2014-06,20120,
2014-07,19945,
2014-08,20440,
2014-09,20225,
2014-10,19754,
2014-11,20318,
