"",BBEX3.M.KES.USD.CA.AC.A01,BBEX3.M.KES.USD.CA.AC.A01_FLAGS
"",Exchange rates (indicative rates *) for the US dollar in Kenya / USD 1 = KES ... (middle),
unit,KES (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:25,
1974-01,7.14395,
1974-02,7.14170,
1974-03,7.14170,
1974-04,7.14170,
1974-05,7.14170,
1974-06,7.14170,
1974-07,7.14170,
1974-08,7.14170,
1974-09,7.14170,
1974-10,7.14170,
1974-11,7.14170,
1974-12,7.14170,
1975-01,7.14170,
1975-02,7.14170,
1975-03,7.14170,
1975-04,7.14170,
1975-05,7.14170,
1975-06,7.14170,
1975-07,7.14170,
1975-08,7.14170,
1975-09,7.14170,
1975-10,8.15000,
1975-11,8.25000,
1975-12,8.26000,
1976-01,8.27000,
1976-02,8.27000,
1976-03,8.36000,
1976-04,8.39000,
1976-05,8.45000,
1976-06,8.43000,
1976-07,8.43000,
1976-08,8.39000,
1976-09,8.37000,
1976-10,8.37000,
1976-11,8.39000,
1976-12,8.31000,
1977-01,8.21000,
1977-02,8.35000,
1977-03,8.33000,
1977-04,8.31000,
1977-05,8.31000,
1977-06,8.30000,
1977-07,8.21000,
1977-08,8.32210,
1977-09,8.31980,
1977-10,8.21495,
1977-11,8.14775,
1977-12,7.95105,
1978-01,7.95785,
1978-02,7.88875,
1978-03,7.82485,
1978-04,7.89565,
1978-05,7.93905,
1978-06,7.81130,
1978-07,7.69685,
1978-08,7.66150,
1978-09,7.55095,
1978-10,7.16235,
1978-11,7.60765,
1978-12,7.40745,
1979-01,7.50950,
1979-02,7.49265,
1979-03,7.51260,
1979-04,7.57715,
1979-05,7.63980,
1979-06,7.47945,
1979-07,7.39860,
1979-08,7.43930,
1979-09,7.33935,
1979-10,7.52280,
1979-11,7.41645,
1979-12,7.33125,
1980-01,7.34065,
1980-02,7.38810,
1980-03,7.69675,
1980-04,7.44920,
1980-05,7.34895,
1980-06,7.31280,
1980-07,7.31590,
1980-08,7.34315,
1980-09,7.36715,
1980-10,7.45030,
1980-11,7.54935,
1980-12,7.57225,
1981-01,7.72740,
1981-02,8.26785,
1981-03,8.29135,
1981-04,8.46825,
1981-05,8.67405,
1981-06,8.82135,
1981-07,9.01395,
1981-08,8.96075,
1981-09,10.44030,
1981-10,10.38060,
1981-11,10.12090,
1981-12,10.26660,
1982-01,10.41075,
1982-02,10.60435,
1982-03,10.73575,
1982-04,10.57770,
1982-05,10.66580,
1982-06,10.94065,
1982-07,10.94235,
1982-08,11.03315,
1982-09,11.14385,
1982-10,11.24840,
1982-11,11.06955,
