"",BBK01.OEAE14G,BBK01.OEAE14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:53,
2002-01,0.472,
2002-04,0.446,
2002-07,0.409,
2002-10,0.432,
2003-01,0.437,
2003-04,0.402,
2003-07,0.385,
2003-10,0.387,
2004-01,0.398,
2004-04,0.385,
2004-07,0.361,
2004-10,0.365,
2005-01,0.371,
2005-04,0.367,
2005-07,0.345,
2005-10,0.353,
2006-01,0.385,
2006-04,0.367,
2006-07,0.350,
2006-10,0.362,
2007-01,0.376,
2007-04,0.328,
2007-07,0.310,
2007-10,0.336,
2008-01,0.346,
2008-04,0.333,
2008-07,0.311,
2008-10,0.337,
2009-01,0.372,
2009-04,0.337,
2009-07,0.315,
2009-10,0.316,
2010-01,0.344,
2010-04,0.320,
2010-07,0.288,
2010-10,0.312,
2011-01,0.347,
2011-04,0.323,
2011-07,0.315,
2011-10,0.336,
2012-01,0.357,
2012-04,0.346,
2012-07,0.318,
2012-10,0.302,
2013-01,0.366,
2013-04,0.330,
2013-07,0.297,
2013-10,0.304,
2014-01,0.329,
2014-04,0.298,
2014-07,0.258,
