"",BBK01.OXA7B2,BBK01.OXA7B2_FLAGS
"",Revolving loans and overdrafts to domestic Non- financial corporations - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:02,
2010-06,68.891,
2010-07,64.073,
2010-08,62.380,
2010-09,64.531,
2010-10,62.570,
2010-11,62.313,
2010-12,60.677,
2011-01,62.679,
2011-02,66.027,
2011-03,66.220,
2011-04,64.362,
2011-05,63.397,
2011-06,67.333,
2011-07,65.678,
2011-08,64.233,
2011-09,68.471,
2011-10,66.019,
2011-11,66.144,
2011-12,62.650,
2012-01,66.693,
2012-02,68.372,
2012-03,69.635,
2012-04,68.136,
2012-05,68.088,
2012-06,69.630,
2012-07,67.355,
2012-08,66.417,
2012-09,68.700,
2012-10,65.989,
2012-11,66.895,
2012-12,67.062,
2013-01,66.272,
2013-02,68.315,
2013-03,70.081,
2013-04,66.796,
2013-05,66.862,
2013-06,67.478,
2013-07,64.525,
2013-08,64.624,
2013-09,66.753,
2013-10,64.139,
2013-11,64.245,
2013-12,64.165,
2014-01,62.955,
2014-02,64.073,
2014-03,66.107,
2014-04,64.318,
2014-05,64.057,
2014-06,67.104,
2014-07,63.855,
2014-08,63.831,
2014-09,64.608,
2014-10,60.702,
2014-11,62.299,
2014-12,61.254,Provisional value
