"",BBDE1.M.DE.Y.AEA1.N2C300000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C300000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:36,
1991-01,30.2,
1991-02,30.6,
1991-03,42.0,
1991-04,20.7,
1991-05,35.2,
1991-06,32.7,
1991-07,55.9,
1991-08,35.4,
1991-09,31.9,
1991-10,32.0,
1991-11,34.2,
1991-12,52.1,
1992-01,35.0,
1992-02,28.1,
1992-03,32.3,
1992-04,40.9,
1992-05,25.5,
1992-06,32.3,
1992-07,20.9,
1992-08,28.4,
1992-09,31.5,
1992-10,25.7,
1992-11,36.0,
1992-12,32.5,
1993-01,27.9,
1993-02,21.7,
1993-03,28.2,
1993-04,27.6,
1993-05,47.3,
1993-06,32.2,
1993-07,27.7,
1993-08,29.0,
1993-09,32.3,
1993-10,38.4,
1993-11,29.7,
1993-12,47.9,
1994-01,31.1,
1994-02,39.0,
1994-03,37.0,
1994-04,34.8,
1994-05,23.7,
1994-06,26.0,
1994-07,36.7,
1994-08,26.4,
1994-09,35.4,
1994-10,18.1,
1994-11,38.4,
1994-12,42.2,
1995-01,26.5,
1995-02,25.9,
1995-03,40.9,
1995-04,31.7,
1995-05,63.1,
1995-06,35.6,
1995-07,79.6,
1995-08,38.4,
1995-09,47.2,
1995-10,44.8,
1995-11,95.2,
1995-12,46.9,
1996-01,30.7,
1996-02,42.0,
1996-03,49.9,
1996-04,37.0,
1996-05,34.2,
1996-06,54.8,
1996-07,45.6,
1996-08,36.1,
1996-09,31.0,
1996-10,23.1,
1996-11,28.7,
1996-12,30.7,
1997-01,27.6,
1997-02,36.6,
1997-03,36.7,
1997-04,49.1,
1997-05,38.1,
1997-06,33.1,
1997-07,33.9,
1997-08,53.5,
1997-09,58.8,
1997-10,53.2,
1997-11,30.6,
1997-12,63.8,
1998-01,63.0,
1998-02,62.7,
1998-03,73.3,
1998-04,61.0,
1998-05,62.4,
1998-06,42.6,
1998-07,68.3,
1998-08,38.1,
1998-09,76.5,
1998-10,58.0,
1998-11,36.1,
1998-12,39.1,
1999-01,36.8,
1999-02,53.5,
1999-03,40.3,
1999-04,44.1,
1999-05,29.5,
1999-06,48.7,
1999-07,34.9,
1999-08,61.2,
1999-09,62.5,
1999-10,62.1,
1999-11,52.2,
1999-12,53.0,
2000-01,37.1,
2000-02,50.8,
2000-03,83.4,
2000-04,66.2,
2000-05,46.1,
2000-06,94.3,
2000-07,63.7,
2000-08,39.2,
2000-09,42.9,
2000-10,57.5,
2000-11,71.9,
2000-12,99.5,
2001-01,62.0,
2001-02,58.3,
2001-03,65.1,
2001-04,50.1,
2001-05,55.7,
2001-06,76.9,
2001-07,48.3,
2001-08,41.0,
2001-09,35.9,
2001-10,33.7,
2001-11,53.5,
2001-12,59.9,
2002-01,42.5,
2002-02,42.1,
2002-03,57.4,
2002-04,47.1,
2002-05,84.5,
2002-06,61.8,
2002-07,62.5,
2002-08,43.0,
2002-09,37.7,
2002-10,52.7,
2002-11,44.2,
2002-12,54.7,
2003-01,54.3,
2003-02,47.7,
2003-03,49.8,
2003-04,56.2,
2003-05,41.5,
2003-06,95.4,
2003-07,42.8,
2003-08,53.9,
2003-09,63.4,
2003-10,55.8,
2003-11,44.5,
2003-12,57.7,
2004-01,52.6,
2004-02,49.2,
2004-03,48.0,
2004-04,47.4,
2004-05,44.1,
2004-06,54.1,
2004-07,46.4,
2004-08,47.9,
2004-09,74.0,
2004-10,71.9,
2004-11,46.7,
2004-12,117.4,
2005-01,63.3,
2005-02,66.5,
2005-03,79.3,
2005-04,64.9,
2005-05,77.0,
2005-06,72.2,
2005-07,93.7,
2005-08,62.4,
2005-09,91.0,
2005-10,74.5,
2005-11,82.9,
2005-12,95.3,
2006-01,67.0,
2006-02,86.6,
2006-03,72.1,
2006-04,68.8,
2006-05,58.9,
2006-06,53.5,
2006-07,102.2,
2006-08,137.4,
2006-09,89.3,
2006-10,58.2,
2006-11,61.8,
2006-12,83.3,
2007-01,57.5,
2007-02,77.8,
2007-03,62.2,
2007-04,112.6,
2007-05,100.0,
2007-06,168.4,
2007-07,69.1,
2007-08,85.4,
2007-09,89.9,
2007-10,118.1,
2007-11,153.0,
