"",BBK01.OELI02S,BBK01.OELI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:36,
2002-01,1.477,
2002-04,1.455,
2002-07,1.504,
2002-10,1.646,
2003-01,1.632,
2003-04,1.655,
2003-07,1.698,
2003-10,1.818,
2004-01,1.758,
2004-04,1.798,
2004-07,1.828,
2004-10,1.911,
2005-01,1.750,
2005-04,1.759,
2005-07,1.783,
2005-10,1.925,
2006-01,1.782,
2006-04,1.773,
2006-07,1.798,
2006-10,2.008,
2007-01,1.976,
2007-04,1.975,
2007-07,1.966,
2007-10,2.088,
2008-01,2.009,
2008-04,1.998,
2008-07,2.049,
2008-10,2.253,
2009-01,2.244,
2009-04,2.267,
2009-07,2.468,
2009-10,2.676,
2010-01,2.699,
2010-04,2.713,
2010-07,2.836,
2010-10,3.046,
2011-01,2.911,
2011-04,2.901,
2011-07,3.007,
2011-10,3.638,
2012-01,3.381,
2012-04,3.399,
2012-07,3.644,
2012-10,3.815,
2013-01,3.735,
2013-04,3.807,
2013-07,3.970,
2013-10,4.102,
2014-01,4.012,
2014-04,4.009,
2014-07,4.169,
