"",BBK01.OECB18O,BBK01.OECB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:05,
2002-01,0.161,
2002-04,0.156,
2002-07,0.169,
2002-10,0.168,
2003-01,0.144,
2003-04,0.146,
2003-07,0.141,
2003-10,0.147,
2004-01,0.129,
2004-04,0.126,
2004-07,0.118,
2004-10,0.130,
2005-01,0.141,
2005-04,0.133,
2005-07,0.136,
2005-10,0.143,
2006-01,0.143,
2006-04,0.138,
2006-07,0.146,
2006-10,0.133,
2007-01,0.139,
2007-04,0.144,
2007-07,0.122,
2007-10,0.122,
2008-01,0.124,
2008-04,0.124,
2008-07,0.124,
2008-10,0.130,
2009-01,0.120,
2009-04,0.115,
2009-07,0.111,
2009-10,0.113,
2010-01,0.112,
2010-04,0.102,
2010-07,0.106,
2010-10,0.094,
2011-01,0.099,
2011-04,0.102,
2011-07,0.104,
2011-10,0.095,
2012-01,0.096,
2012-04,0.090,
2012-07,0.090,
2012-10,0.091,
2013-01,0.089,
2013-04,0.088,
2013-07,0.090,
2013-10,0.086,
2014-01,0.090,
2014-04,0.087,
2014-07,0.085,
