"",BBK01.OEYI03J,BBK01.OEYI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:48,
2002-01,8.447,
2002-04,8.366,
2002-07,8.398,
2002-10,8.589,
2003-01,8.358,
2003-04,8.740,
2003-07,8.891,
2003-10,8.911,
2004-01,9.579,
2004-04,9.929,
2004-07,10.499,
2004-10,10.433,
2005-01,11.171,
2005-04,11.470,
2005-07,11.842,
2005-10,12.860,
2006-01,12.306,
2006-04,12.786,
2006-07,13.282,
2006-10,11.649,
2007-01,12.060,
2007-04,12.098,
2007-07,12.816,
2007-10,12.816,
2008-01,12.720,
2008-04,13.132,
2008-07,13.441,
2008-10,13.402,
2009-01,13.388,
2009-04,13.381,
2009-07,13.264,
2009-10,13.282,
2010-01,13.523,
2010-04,13.831,
2010-07,13.443,
2010-10,13.500,
2011-01,13.211,
2011-04,13.329,
2011-07,13.128,
2011-10,13.202,
2012-01,13.310,
2012-04,7.772,
2012-07,7.331,
2012-10,7.274,
2013-01,7.370,
2013-04,7.098,
2013-07,6.917,
2013-10,6.927,
2014-01,6.647,
2014-04,6.338,
2014-07,5.807,
