"",BBK01.OXH7C1,BBK01.OXH7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Savings banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:46,
2010-12,1.316,
2011-01,1.055,
2011-02,1.027,
2011-03,1.010,
2011-04,1.022,
2011-05,1.196,
2011-06,1.176,
2011-07,1.402,
2011-08,1.611,
2011-09,1.728,
2011-10,1.655,
2011-11,1.573,
2011-12,1.653,
2012-01,1.617,
2012-02,1.699,
2012-03,1.674,
2012-04,1.647,
2012-05,1.894,
2012-06,1.779,
2012-07,1.888,
2012-08,1.924,
2012-09,1.920,
2012-10,1.896,
2012-11,1.928,
2012-12,1.844,
2013-01,1.614,
2013-02,1.862,
2013-03,1.866,
2013-04,1.884,
2013-05,1.637,
2013-06,1.411,
2013-07,1.448,
2013-08,1.330,
2013-09,1.378,
2013-10,1.414,
2013-11,1.371,
2013-12,0.053,
2014-01,0.059,
2014-02,0.060,
2014-03,0.060,
2014-04,0.054,
2014-05,0.063,
2014-06,0.061,
2014-07,0.063,
2014-08,0.065,
2014-09,0.064,
2014-10,0.058,
2014-11,0.060,
2014-12,0.058,Provisional value
