"",BBK01.OECI04S,BBK01.OECI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:43,
2002-01,0.587,
2002-04,0.569,
2002-07,0.542,
2002-10,0.560,
2003-01,0.439,
2003-04,0.386,
2003-07,0.371,
2003-10,0.302,
2004-01,0.252,
2004-04,0.239,
2004-07,0.213,
2004-10,0.254,
2005-01,0.318,
2005-04,0.285,
2005-07,0.278,
2005-10,0.271,
2006-01,0.282,
2006-04,0.259,
2006-07,0.302,
2006-10,0.321,
2007-01,0.379,
2007-04,0.391,
2007-07,0.449,
2007-10,0.509,
2008-01,0.532,
2008-04,0.578,
2008-07,0.746,
2008-10,0.769,
2009-01,0.672,
2009-04,0.602,
2009-07,0.485,
2009-10,0.419,
2010-01,0.358,
2010-04,0.315,
2010-07,0.314,
2010-10,0.286,
2011-01,0.311,
2011-04,0.289,
2011-07,0.294,
2011-10,0.324,
2012-01,0.386,
2012-04,0.370,
2012-07,0.336,
2012-10,0.256,
2013-01,0.226,
2013-04,0.236,
2013-07,0.205,
2013-10,0.198,
2014-01,0.192,
2014-04,0.206,
2014-07,0.210,
