"",BBDE1.Q.DE.Y.LCB1.N2F000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.N2F000000.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Section F - Construction / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:15,
1996-01,81.382,
1996-04,81.279,
1996-07,82.406,
1996-10,87.379,
1997-01,83.819,
1997-04,80.228,
1997-07,82.514,
1997-10,84.341,
1998-01,81.421,
1998-04,83.169,
1998-07,83.415,
1998-10,82.944,
1999-01,83.653,
1999-04,84.207,
1999-07,84.527,
1999-10,84.058,
2000-01,84.866,
2000-04,87.193,
2000-07,88.134,
2000-10,88.554,
2001-01,87.383,
2001-04,89.551,
2001-07,89.930,
2001-10,90.159,
2002-01,91.205,
2002-04,91.088,
2002-07,91.692,
2002-10,92.529,
2003-01,93.495,
2003-04,94.487,
2003-07,92.745,
2003-10,92.995,
2004-01,93.982,
2004-04,93.891,
2004-07,93.937,
2004-10,90.739,
2005-01,95.590,
2005-04,93.961,
2005-07,95.054,
2005-10,93.401,
2006-01,95.448,
2006-04,93.797,
2006-07,93.039,
2006-10,94.721,
2007-01,94.185,
2007-04,95.490,
2007-07,97.545,
2007-10,98.814,
2008-01,99.298,
2008-04,97.404,
2008-07,100.076,
2008-10,103.221,
2009-01,103.854,
2009-04,103.548,
2009-07,103.008,
2009-10,103.744,
2010-01,104.850,
2010-04,103.945,
2010-07,103.910,
2010-10,104.518,
2011-01,104.725,
2011-04,106.777,
2011-07,107.306,
2011-10,108.849,
2012-01,108.470,
2012-04,110.751,
2012-07,111.517,
2012-10,112.294,
2013-01,111.561,
2013-04,110.404,
2013-07,110.376,
2013-10,112.644,
2014-01,112.421,
2014-04,111.331,
2014-07,111.732,
