"",BBK01.CEL720,BBK01.CEL720_FLAGS
"",Other accounts payable                                        debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:04,
1999-01,-3.3,
1999-04,1.1,
1999-07,-6.1,
1999-10,10.4,
2000-01,16.1,
2000-04,-23.0,
2000-07,-4.6,
2000-10,-42.9,
2001-01,31.2,
2001-04,-19.2,
2001-07,-25.2,
2001-10,42.6,
2002-01,26.5,
2002-04,-13.6,
2002-07,-1.7,
2002-10,11.8,
2003-01,16.9,
2003-04,2.0,
2003-07,-24.5,
2003-10,73.8,
2004-01,-1.7,
2004-04,-1.4,
2004-07,3.0,
2004-10,28.2,
2005-01,5.1,
2005-04,-15.8,
2005-07,18.6,
2005-10,-8.6,
2006-01,13.5,
2006-04,-20.4,
2006-07,54.4,
2006-10,12.6,
2007-01,8.6,
2007-04,17.0,
2007-07,-4.7,
2007-10,59.0,
2008-01,10.2,
2008-04,-22.8,
2008-07,-8.9,
2008-10,-16.7,
2009-01,71.4,
2009-04,-86.2,
2009-07,19.8,
2009-10,10.4,
2010-01,-12.0,
2010-04,1.3,
2010-07,-24.2,
2010-10,-76.2,
2011-01,9.3,
2011-04,-2.6,
2011-07,-54.8,
2011-10,-23.3,
2012-01,-5.9,
2012-04,-0.5,
2012-07,58.0,
2012-10,68.5,
2013-01,32.5,
2013-04,6.4,
2013-07,-22.5,
2013-10,25.7,
2014-01,32.3,
2014-04,12.4,
2014-07,-30.8,
