"",BBFN1.M.DE.N.1.L.W1.S1P.H0.T.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H0.T.N000.EUR.BGA.X001.D_FLAGS
1999-11,46.205,
1999-12,47.142,
2000-01,46.608,
2000-02,47.983,
2000-03,49.607,
2000-04,48.701,
2000-05,49.283,
2000-06,50.940,
2000-07,50.515,
2000-08,49.719,
2000-09,52.340,
2000-10,53.003,
2000-11,54.456,
2000-12,55.843,
2001-01,55.014,
2001-02,55.384,
2001-03,56.886,
2001-04,55.311,
2001-05,55.623,
2001-06,57.595,
2001-07,55.400,
2001-08,54.485,
2001-09,56.335,
2001-10,57.602,
2001-11,57.839,
2001-12,58.871,
2002-01,56.486,
2002-02,57.548,
2002-03,56.749,
2002-04,54.916,
2002-05,55.967,
2002-06,57.767,
2002-07,57.215,
2002-08,55.349,
2002-09,58.373,
2002-10,59.485,
2002-11,59.882,
2002-12,58.495,
2003-01,57.631,
2003-02,58.388,
2003-03,60.638,
2003-04,59.329,
2003-05,59.395,
2003-06,61.225,
2003-07,59.395,
2003-08,57.317,
2003-09,60.736,
2003-10,61.770,
2003-11,61.926,
2003-12,61.422,
2004-01,60.332,
2004-02,60.324,
2004-03,65.440,
2004-04,63.119,
2004-05,64.346,
2004-06,65.995,
2004-07,65.285,
2004-08,62.969,
2004-09,67.330,
2004-10,68.529,
2004-11,69.605,
2004-12,68.899,
2005-01,66.340,
2005-02,66.799,
2005-03,69.754,
2005-04,70.471,
2005-05,68.850,
2005-06,71.685,
2005-07,70.431,
2005-08,68.022,
2005-09,72.161,
2005-10,73.409,
2005-11,75.216,
2005-12,76.048,
2006-01,73.140,
2006-02,75.258,
2006-03,79.799,
2006-04,78.960,
2006-05,79.567,
2006-06,80.975,
2006-07,79.760,
2006-08,78.449,
2006-09,83.408,
2006-10,84.823,
2006-11,86.070,
2006-12,87.887,
2007-01,87.318,
2007-02,87.529,
2007-03,92.217,
2007-04,90.385,
2007-05,90.533,
2007-06,94.616,
2007-07,94.535,
2007-08,93.213,
2007-09,97.535,
2007-10,99.175,
2007-11,100.735,
2007-12,100.601,
2008-01,100.582,
2008-02,103.495,
2008-03,105.264,
2008-04,107.901,
2008-05,107.085,
2008-06,108.609,
2008-07,108.533,
2008-08,106.243,
2008-09,110.683,
2008-10,110.158,
2008-11,110.063,
2008-12,105.001,
2009-01,100.962,
2009-02,100.519,
2009-03,105.149,
2009-04,97.337,
2009-05,98.469,
2009-06,107.070,
2009-07,107.461,
2009-08,102.676,
2009-09,106.540,
2009-10,108.381,
2009-11,109.498,
2009-12,107.837,
2010-01,99.534,
2010-02,101.343,
2010-03,106.196,
2010-04,104.921,
2010-05,107.068,
2010-06,110.260,
2010-07,108.111,
2010-08,105.448,
2010-09,111.132,
2010-10,113.191,
2010-11,111.344,
2010-12,112.860,
2011-01,113.049,
2011-02,114.991,
2011-03,118.493,
2011-04,117.704,
2011-05,117.881,
2011-06,118.604,
2011-07,117.876,
2011-08,113.741,
2011-09,120.191,
2011-10,119.876,
2011-11,121.440,
2011-12,123.743,
2012-01,118.526,
2012-02,121.259,
2012-03,122.847,
2012-04,121.388,
2012-05,120.249,
2012-06,122.167,
2012-07,119.901,
2012-08,116.963,
2012-09,124.753,
2012-10,125.605,
2012-11,125.535,
2012-12,130.156,
2013-01,127.518,
2013-02,128.544,
2013-03,130.672,
2013-04,127.472,
2013-05,126.153,
2013-06,127.248,
2013-07,122.028,
2013-08,122.096,
2013-09,130.092,
2013-10,130.863,
2013-11,132.639,
2013-12,127.809,
2014-01,120.383,
2014-02,124.281,
2014-03,127.931,
2014-04,125.089,
2014-05,124.098,
2014-06,126.683,
2014-07,126.196,
2014-08,123.258,
2014-09,128.752,
2014-10,126.888,
2014-11,129.170,
2014-12,124.308,
"","General: From January 1999, including national currencies of the euro-area member states.",
